out_seq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,91,-271,597,-938,-472,727,-101,129,619,-216,684,330,1102,-33,90,878,-215,-382,-758,-779,597,145,310,14,-283,-763,-183,862,-222,-504,641,-265,579,129,986,87,196,802,-902,333,-464,157,-66,511,-64,-726,151,685,0,762,411,-127,-345,375,357,440,598,-918,359,267,7,-293,-644,140
11,802,-367,659,-107,-796,-644,-293,-42,-143,-334,-557,777,545,-332,287,-195,-310,1023,680,212,41,156,-177,337,-72,-200,-789,344,-154,504,657,296,162,-584,-265,-137,-89,-413,-598,-298,-878,-757,-240,-465,-547,364,1474,278,166,-617,-412,191,-287,-1181,-175,-70,504,877,390,-48,-1001,1126,533,228
12,-202,-434,-113,150,384,-103,666,-934,-425,-113,-38,-650,-554,70,-639,-625,-214,85,634,-571,429,-127,369,420,-10,93,300,-668,-260,524,98,-84,-150,-131,-180,35,-529,-1107,10,624,-155,182,324,288,705,1032,9,-215,-427,-229,-931,492,307,190,-124,-58,-312,600,38,-12,369,9,-172,-219
13,360,396,285,-353,-394,133,-566,471,-34,85,789,49,538,189,-148,216,-399,-480,-40,555,413,-162,662,-6,20,92,-375,52,-494,100,-282,-268,322,-598,413,66,-171,-153,-271,-345,-46,-697,-485,247,519,-918,71,-396,-374,106,-382,-170,241,-86,56,-214,78,-329,517,260,462,47,260,612
14,794,-738,162,-576,-779,636,567,86,-168,489,-25,465,-475,-420,-78,-758,-567,805,399,413,428,330,475,370,-295,236,-392,-885,-60,170,195,-576,447,24,-419,515,-492,-440,-661,504,165,5,-878,512,-351,487,16,-176,-761,-758,-153,-322,-28,-205,75,316,-180,-56,-137,753,-410,-731,-168,-220
15,-222,-104,-168,-277,-708,481,564,-1103,-170,40,1314,624,477,10,-262,531,-646,-222,398,-720,244,317,348,132,-161,-342,-166,42,808,-319,63,170,678,-57,-573,349,-928,-292,-586,-57,35,213,-414,728,759,80,-773,299,208,-587,-89,-247,631,513,-520,-539,-230,-69,203,-161,-108,-350,-40,452
16,113,-380,-302,-387,777,169,442,282,316,398,170,220,170,-765,303,-384,311,352,-472,147,152,100,128,1166,-51,-271,-431,-585,-40,376,229,-335,2,326,-714,-406,-293,-150,-595,337,-548,197,-646,157,-2,72,-192,-58,-964,128,-393,-103,-95,419,373,76,-258,99,310,-430,-122,-489,-25,-382
17,330,241,-747,-295,856,-223,30,-78,340,627,-626,-158,-950,140,-730,344,-489,435,551,341,-127,872,-484,-482,-896,-159,290,435,-385,-254,477,-459,-97,-376,101,333,-585,706,58,265,563,-216,-448,755,1058,-371,-353,-307,167,122,509,151,-196,28,-285,759,-181,424,-226,112,-550,703,62,298
18,-951,-28,-871,-74,-174,-244,-107,439,569,222,794,-696,219,124,351,1448,802,-921,-464,-186,-524,640,-32,238,67,405,123,-74,-884,476,286,568,497,251,793,604,635,182,48,690,-254,-265,-139,432,-579,260,573,70,-28,731,535,495,-354,-169,611,980,780,-663,-1016,-835,689,138,-1252,113
19,-600,838,-188,-351,-18,-242,-677,-30,65,-135,-436,-140,-231,34,-422,-703,-477,180,760,-900,-401,-8,41,842,-190,-186,-314,-76,-1043,-554,-115,294,17,-887,304,-145,-751,-119,-798,-227,-322,34,-380,28,179,78,189,-19,177,342,122,-233,-1,-159,559,-327,209,213,-581,-76,-522,-343,193,408
20,896,-534,218,529,-615,-375,-39,215,-780,-112,32,-192,6,-604,455,-576,-253,-490,-908,544,-257,-204,655,244,312,548,-725,-563,156,461,-1069,-639,557,481,409,-249,-82,-412,77,-244,-487,156,559,-864,-1091,-218,-1540,751,1,-206,221,-747,-384,-738,342,-685,-572,278,350,-216,247,444,74,-177
21,-400,464,100,180,388,-390,-787,187,-547,-179,717,197,406,-80,468,-165,-950,747,466,347,-1332,-10,788,671,-878,-940,-490,301,-133,-776,684,1062,-98,-221,-1557,-54,11,-29,94,-815,256,552,202,290,24,329,581,-657,-111,-459,-419,-184,531,708,-184,133,681,826,413,-416,-235,613,-105,642
22,-117,-313,-122,726,158,-419,11,-216,-1201,382,536,-640,-239,648,49,430,-333,-430,-322,-139,813,-20,-452,-1024,356,793,393,-86,-77,351,267,602,233,43,310,-669,-533,-123,719,292,602,459,627,498,500,-826,484,-547,149,147,611,362,424,220,-767,-82,108,385,492,183,-186,539,-67,85
23,722,-853,20,315,164,368,422,593,233,489,466,-551,-504,459,-115,92,777,-293,1190,768,701,-1104,411,742,702,-287,203,-659,509,251,1020,359,-120,372,-819,186,155,993,-68,-428,-142,-375,-659,158,-85,-443,-222,259,-1089,286,416,528,-19,-248,-444,-115,-1475,-413,-347,-505,276,-347,-243,-289
24,620,-295,340,-646,-119,-352,-84,39,-242,-127,341,-91,0,-1057,-352,-353,574,123,-231,-198,240,318,39,-165,1084,-79,-394,502,76,95,-19,138,851,-245,-645,-756,-613,230,-292,-394,-185,330,-6,264,586,-701,-191,450,454,-384,-149,132,407,599,-95,-491,-396,-54,-170,646,6,689,-269,-227
25,-348,-283,171,-96,464,175,-288,-478,-439,-359,-42,195,-367,-474,225,1,-404,573,646,479,-433,69,-506,-201,-396,-240,-126,-357,780,380,-98,364,-355,-243,-1225,805,-433,-14,-195,-366,234,-1004,89,-204,70,657,935,-367,-5,-374,-931,155,28,-49,-556,431,467,614,464,-293,-84,355,118,155
26,-303,-317,-605,380,234,-344,743,213,563,168,-447,26,-266,0,477,157,428,-498,427,26,528,-16,-307,546,-447,505,-274,-437,33,243,353,579,-175,-7,694,797,-93,331,-612,381,231,-548,492,-15,-46,551,1230,-656,-998,657,576,-138,439,-27,1063,-113,20,-438,-571,915,283,-14,-727,395
27,193,-408,-279,-405,-413,-27,-349,731,15,163,88,-224,-702,-357,-289,-434,690,-201,121,751,-416,-403,576,171,317,-59,-478,-152,-167,313,-671,-469,-719,1178,-197,-419,925,135,445,-780,994,-756,-72,316,-186,150,-48,32,161,620,-95,636,21,-370,-69,-90,-728,65,-172,-735,494,28,16,-279
28,-455,617,-278,66,-869,-20,-346,246,-261,-718,120,12,-394,-626,503,-886,289,670,25,-1138,65,-532,199,214,741,166,-249,90,31,-514,-511,-132,737,-80,406,-616,-324,-691,-248,-449,-598,-28,94,-602,576,212,-298,-195,814,-528,-694,280,-228,808,-132,88,603,474,-47,392,619,748,-338,-312
29,22,330,-151,-19,576,403,331,86,367,287,-801,-486,-131,134,-634,296,426,-375,12,172,41,-333,-439,483,146,-22,923,-690,591,-145,-77,-259,301,286,239,-686,495,-206,-130,-523,-505,238,224,-790,335,30,-498,872,-221,21,-369,87,83,786,274,-62,-490,-479,-783,233,-466,460,-263,-630
30,661,-53,74,-101,-145,-439,656,288,54,613,-865,-104,372,-306,-555,-448,634,279,-148,321,410,-162,-326,601,146,785,-894,-771,363,434,324,9,168,27,-16,-118,417,-593,-187,377,-284,-454,-495,128,-917,-291,783,567,-335,-80,-37,-523,-284,-682,1214,-680,-324,-682,-481,-100,-704,-126,590,327
31,-574,-88,308,716,-229,-221,-100,-11,-382,85,-246,-698,-307,246,495,313,486,-357,-178,-104,491,-989,185,126,-585,1,545,-41,1088,338,-130,-465,506,-83,-442,281,-157,-102,-135,-33,10,-143,921,-557,-672,472,702,327,699,36,-201,149,762,352,349,-634,-155,150,395,75,-569,-1,-611,218
32,289,121,-386,-367,6,600,-8,622,959,-236,241,-394,-378,-710,447,-282,817,-386,-145,804,635,437,344,-322,172,-674,-142,-71,-834,-264,94,69,-359,-156,-201,403,-672,5,352,259,443,-115,222,495,-383,-18,-132,251,35,-165,-1033,-239,166,-340,-701,-544,-594,-6,-323,288,86,-335,136,347
33,-122,15,585,-38,401,301,-826,-290,-815,-561,412,-695,238,690,449,-199,-493,-234,-550,-1100,801,-133,205,-178,89,20,-85,488,331,441,-193,-220,159,-141,440,-568,-719,-482,-144,-325,446,1250,1100,-114,246,-150,9,57,672,148,-117,-590,633,29,-625,-496,472,292,322,-214,109,-248,-57,-295
34,299,-213,28,400,241,-231,356,262,-42,83,-204,-228,-53,-629,-1105,313,-91,68,268,43,373,257,-411,-72,59,335,487,-219,80,-76,-139,-63,-446,-1333,-352,522,52,548,755,297,774,234,42,490,577,-37,-135,321,545,-156,545,-53,683,141,-320,-186,-800,162,-637,333,-739,-28,445,-284
35,523,106,457,988,-1001,-249,88,-130,-378,122,-703,24,-461,506,374,-227,-324,-49,431,98,-243,-959,39,226,941,-93,275,-319,-686,-192,27,574,-166,-693,333,-367,-142,-608,178,1075,-106,294,244,-564,-296,157,220,-267,-224,-288,-133,-45,-919,-336,-383,-484,-418,111,-30,380,-447,-632,362,-147
36,-89,-764,237,116,84,842,39,171,224,-93,-43,95,157,478,970,-549,-378,-48,82,64,-167,333,49,-59,-699,815,-466,-372,93,58,582,-591,478,204,463,86,275,77,351,941,721,289,-64,-68,-620,83,219,-244,-231,-222,146,-1028,155,-807,-2,403,684,350,585,-745,-655,-799,101,28
37,209,-218,-847,482,-127,-92,-392,1330,-564,162,546,957,231,80,466,-567,284,-99,-384,207,31,-43,16,-39,-610,-654,-296,476,69,479,-247,83,-708,959,135,-91,-126,-153,-354,504,258,-211,243,-506,271,268,-163,516,157,650,273,490,231,146,-686,488,406,-258,42,55,-1064,-383,225,-463
38,-134,525,263,-214,279,31,-1102,186,-432,-604,520,280,-205,-67,324,-926,-254,1082,289,433,-713,-751,-666,-421,733,-250,-72,435,-190,-547,-644,209,-624,169,-196,-280,190,212,382,-576,170,-231,292,-333,65,-688,280,-65,-263,528,-428,88,-219,-264,-677,-231,-387,-433,716,-269,937,-102,478,-434
39,-285,479,-254,743,-1,-80,-349,-53,-706,859,617,-337,200,291,-350,-256,264,-202,-72,-667,-300,-108,-335,-205,-766,427,-227,27,-98,182,-308,15,-454,78,200,-564,-150,-86,-263,786,38,689,-262,-84,-270,-18,-211,767,236,378,467,738,145,-143,-722,-71,-336,-350,-44,-270,-735,-610,300,-446
40,454,-2,779,-646,-150,-645,-516,639,448,-580,620,648,134,-77,598,741,-537,33,-77,776,-23,-109,-10,-342,-298,-540,37,414,165,-103,164,-263,179,-384,-42,304,-319,674,-77,-753,279,61,348,238,147,-380,652,-519,235,224,247,-309,224,-554,487,288,100,115,295,-244,419,439,-100,372
41,-49,-675,-633,-297,-338,443,323,-63,417,20,87,363,336,720,-452,-225,-102,-384,699,-45,640,320,101,-451,1012,445,266,137,-807,328,-178,0,828,264,1148,228,224,-505,-584,384,-685,416,-424,284,771,-298,-763,60,-694,24,878,-331,58,754,864,-81,-148,-833,-511,-76,733,-153,342,-323
42,15,-153,288,48,19,-590,4,-458,376,-248,-310,-508,428,246,-425,448,255,-810,270,-228,-239,51,608,435,60,-1036,585,52,437,88,593,360,-152,-76,-643,-71,17,863,692,-29,-421,301,844,-157,-27,267,-721,858,215,260,235,68,357,-119,-209,-338,82,249,150,-1233,254,375,-38,-62
43,937,-105,-1051,-156,43,-115,-480,-127,625,36,112,207,600,-365,-122,-539,757,-424,728,377,-536,532,-267,-786,112,-607,-141,467,-88,-19,274,-432,-309,161,191,42,-333,92,-443,992,-431,-986,11,-323,-54,626,-69,264,-183,209,-30,5,8,-410,-497,-981,57,-1480,251,256,-64,-882,1,224
44,627,-442,-389,-116,-179,171,-178,-210,-275,-383,14,90,-85,-848,-415,-562,-9,713,831,-708,-790,-265,-397,-119,937,-792,-75,197,-360,-306,-130,616,386,-525,-328,-552,126,-578,-502,-212,391,145,206,462,436,509,103,58,-390,-187,-134,433,-306,935,-736,-926,-567,-272,-462,123,79,749,189,-188
45,612,-161,-595,807,-51,-718,197,-297,248,-31,158,32,-72,723,-298,-619,399,401,1335,-93,-109,-237,-102,-414,415,-281,387,-951,-119,352,321,-692,536,458,179,-114,-6,221,133,-241,-388,247,-550,-394,-286,-139,-835,-192,-876,779,296,-174,463,101,429,-300,-713,43,-298,436,1089,-628,-179,-617
46,-381,132,-22,158,265,-121,-89,-1208,-808,-776,-389,732,456,213,235,-468,-907,1272,538,-1168,297,-303,-649,-413,-280,658,973,-86,460,-392,-850,-231,-304,-870,415,236,-666,-1036,-524,-195,57,-572,680,-904,145,670,475,-690,165,-432,-249,490,678,135,-742,-231,788,444,275,1097,42,-57,56,-342
47,-202,-1640,550,-28,-50,-109,-117,1003,-180,-718,-353,624,716,-88,718,184,317,-222,-801,375,239,423,-267,199,-196,294,144,-735,-435,335,-327,620,-162,-226,299,491,833,-1050,-89,137,-262,393,-533,-356,-637,14,242,739,36,-472,52,620,-30,-9,223,227,601,242,129,252,40,415,840,-80
48,-220,505,-15,-134,324,224,360,-100,-448,-3,152,-408,384,439,-181,172,-802,221,-251,538,513,-78,80,177,164,67,274,62,564,-325,144,323,-587,305,-775,874,-736,209,738,226,146,224,265,549,-121,-596,204,299,215,-376,7,-534,315,-73,199,-112,-132,-241,169,-451,520,-294,358,270
49,134,526,-238,-28,232,406,-487,-19,-570,-295,810,87,-104,-4,80,-121,-244,267,-206,224,-645,90,170,-128,348,-280,-760,54,379,-107,219,35,-23,340,-711,-131,62,-237,524,-295,1152,-556,-369,-7,-323,-132,463,-588,487,-423,-196,-846,104,-47,-934,304,593,592,-142,-21,-125,167,-365,-142
50,-411,101,-411,642,395,333,44,172,108,868,-137,91,-59,612,552,-930,327,749,124,-39,171,-238,-805,325,-312,684,-118,540,-721,-128,-597,-586,208,881,365,-525,525,-779,-253,682,-656,387,412,-659,77,257,-208,-62,-404,-144,-226,-342,113,514,205,-437,162,-93,529,1021,-530,-607,-244,-58
51,-148,516,235,316,-109,99,-125,342,-183,737,-540,-749,-1320,269,227,-227,609,-857,-478,-288,-122,189,-116,285,-553,33,-750,-45,-477,-5,-23,-225,-316,54,185,-407,-322,-691,-256,299,629,1004,204,244,90,107,-488,41,699,251,-589,306,-425,-143,841,100,-269,1029,-536,99,-30,-314,8,-93
52,363,261,-5,-288,1003,-666,635,727,738,-125,-352,534,156,521,789,49,-213,41,135,529,556,476,798,-707,-449,441,-42,454,-19,714,531,-380,39,152,392,35,-132,561,504,-762,-29,204,584,-102,-80,-491,1,-1093,-350,419,467,-388,152,-795,772,-140,266,-136,-81,80,506,-54,237,182
53,386,248,215,207,-599,-385,413,423,-609,339,-75,-843,-1055,-392,96,937,575,-1146,-1551,277,214,446,648,326,212,357,-742,-367,295,191,-182,567,-172,327,6,716,-235,238,343,-112,975,-444,71,544,-148,-56,-58,447,633,214,-59,283,-132,-37,632,173,-323,82,-346,-8,152,395,-241,368
54,198,359,701,586,317,-496,65,-365,-525,-83,-557,251,41,184,-267,-464,-212,721,315,-139,-567,-240,-536,-844,-546,375,-272,-16,376,655,-167,17,-686,30,30,-977,437,-122,-715,-75,59,-318,-31,210,149,602,543,-169,210,-190,576,1173,-219,60,-13,604,-207,505,284,-225,-62,-5,250,-520
55,619,-104,452,109,-1595,-156,441,383,-665,1157,129,283,-83,866,202,59,301,-409,421,457,693,-504,-288,246,-118,361,-450,203,243,524,560,-99,1282,1272,-210,-256,-398,-298,-332,1157,-250,531,-752,770,-630,-1144,-5,608,-300,45,49,28,-493,-453,1050,-41,-524,50,-297,-894,91,-264,-510,-485
56,9,-1011,317,251,291,-147,544,330,72,351,-51,-474,-46,-26,-234,63,798,-425,-540,-204,307,-210,25,605,552,78,-442,391,-319,684,-250,462,-686,779,-403,-224,666,-206,248,377,573,420,223,420,145,-37,612,-284,268,-117,522,1108,205,1048,216,-54,290,146,218,-492,201,177,-323,-631
57,56,121,-913,-88,626,-267,-283,-117,849,-606,495,-634,891,-549,223,215,622,-255,-30,-442,-541,418,-411,93,-480,-481,165,1345,45,209,-491,44,435,-787,44,-334,579,214,494,-347,-578,-425,586,189,145,410,197,407,634,286,-397,157,576,-263,160,-871,-83,249,-19,93,-743,793,-633,327
58,-212,358,32,-721,562,-184,357,-516,300,-180,-77,-1520,-147,-368,-150,112,-101,474,-188,-577,-448,700,-443,240,-28,178,19,-295,-247,-200,-1221,416,-268,-773,-875,1000,-564,532,455,214,389,-1098,81,968,33,-570,-548,-244,518,-632,228,214,214,877,40,-119,23,412,103,71,473,314,-807,491
59,296,101,318,162,-532,-140,-602,-51,282,-269,637,-313,373,-12,-335,-466,98,-95,97,79,-691,184,619,-401,675,-13,-520,-655,-700,-255,225,202,-972,18,-74,581,670,365,129,-89,612,-1348,-97,-298,725,220,-286,69,501,760,-19,219,868,-123,-454,760,507,-242,853,-510,564,57,680,916
60,-37,-164,-635,609,863,-79,-753,974,-67,-744,1138,-258,992,307,677,592,-322,-289,-223,111,154,46,1253,1223,-56,-368,188,868,-222,-183,-188,231,585,-86,275,-76,462,782,397,-1009,-530,813,-92,-144,624,-335,-205,639,-102,366,412,139,468,524,-808,-90,497,29,-390,262,310,480,65,-439
61,657,477,254,-233,-13,-279,6,269,942,-21,-263,-757,-333,-1021,144,-499,-86,1074,243,250,-314,-93,-316,52,90,-10,345,609,-761,-582,280,-217,185,-943,117,540,59,1224,-128,-155,-114,-104,-61,91,861,372,153,-161,-446,605,138,-678,406,-205,262,-308,-1076,-1096,721,1122,-41,-323,-492,1228
62,122,-160,124,-773,-340,-59,-206,317,-269,-470,87,826,1054,-164,1067,-439,-629,-29,-2,-4,156,419,522,883,-393,-483,-921,-79,-339,343,275,224,-590,362,479,406,-166,-532,-1242,434,-414,245,37,-357,308,603,445,386,-396,254,-88,-147,-286,-438,699,630,587,-203,-152,-48,397,-382,557,399
63,-429,-285,411,-514,487,179,-254,435,-842,-629,82,321,341,-180,126,97,-271,-591,-928,246,2,-203,1051,452,-282,-190,567,-1169,525,-287,232,653,-431,-269,-835,341,-690,356,-80,-872,233,-316,-837,275,-508,-266,101,413,-455,137,35,84,728,-607,-82,-147,-354,-275,-482,-82,-285,-201,1008,589
,
decoded_weight,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1,2,1,2,0,1,2,1,0,1,1,0,2,2,1,1,0,0,2,0,2,2,1,2,2,2,1,0,0,1,2,1,2,2,0,0,0,1,1,1,2,2,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,2,0,0,1,1,2
1,0,1,1,0,2,2,0,2,2,0,1,0,0,1,2,0,1,0,2,2,2,0,1,2,1,2,1,2,1,1,1,0,0,0,0,1,0,1,0,1,2,2,1,1,2,0,1,1,1,0,0,2,0,1,0,2,2,0,2,2,1,2,2,0
2,0,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,0,0,1,0,1,1,1,0,0,2,2,0,2,2,2,1,1,0,2,1,0,1,1,0,0,2,1,0,2,0,0,2,1,2,1,0,2,0,0,0,1,1,2,0
3,0,0,1,0,1,1,0,1,1,2,0,0,2,1,0,0,1,2,0,0,0,2,1,0,2,0,0,1,1,2,0,1,2,1,0,2,2,0,2,0,2,0,2,1,1,2,1,2,0,1,1,2,2,2,2,2,2,2,1,2,1,0,0,2
4,2,2,0,0,0,2,1,1,1,2,2,0,1,2,1,2,2,2,1,1,0,2,0,2,2,2,0,1,0,2,2,2,2,2,2,0,1,1,2,2,2,2,1,2,0,0,1,2,0,2,1,1,1,2,2,2,1,0,0,2,0,0,2,1
5,1,0,0,1,1,2,2,0,1,2,0,2,0,2,2,0,0,1,2,1,1,1,1,0,2,0,1,1,2,1,0,1,1,1,2,2,0,2,1,1,1,0,1,1,2,0,1,0,2,2,2,1,0,0,2,1,2,1,0,1,0,0,1,1
6,0,1,0,2,1,1,0,1,2,0,2,2,1,0,1,1,1,0,0,1,2,1,2,1,1,1,0,1,0,0,1,2,2,2,2,1,2,1,2,1,0,1,1,0,0,0,2,1,0,1,2,0,1,0,2,1,1,0,1,0,1,2,0,2
7,0,2,1,0,2,0,2,2,0,0,2,1,1,2,2,0,2,2,2,2,2,2,0,0,1,0,1,2,2,0,1,2,2,0,1,2,1,1,2,2,2,1,1,0,1,2,2,0,1,0,2,0,1,1,1,0,0,0,1,0,2,0,1,1
8,1,0,0,2,2,1,2,2,2,0,0,2,1,0,2,0,2,2,0,2,0,2,2,0,2,0,2,2,2,0,1,0,1,2,0,1,1,1,0,0,0,2,0,2,0,2,1,0,1,0,0,2,2,1,1,1,0,1,0,1,2,0,0,2
9,1,1,1,2,0,0,2,0,2,0,2,0,1,0,0,2,1,0,1,2,2,1,1,0,1,1,1,1,2,1,0,1,2,0,0,1,0,2,0,1,1,2,1,1,0,1,2,1,2,2,2,1,2,0,2,1,1,2,0,2,2,1,1,0
10,1,2,2,0,1,0,2,2,0,0,0,1,2,1,2,1,2,0,1,0,2,0,1,2,1,2,0,0,0,0,0,1,1,2,1,0,2,2,2,2,2,0,2,0,2,1,1,1,2,2,2,1,1,0,0,0,2,2,1,2,0,2,0,2
11,2,1,2,0,2,1,2,1,2,0,1,2,2,2,2,1,0,1,0,2,0,1,1,2,0,1,1,2,2,1,1,2,0,1,0,1,0,1,0,0,2,2,0,1,0,0,1,0,0,0,2,1,2,2,2,2,0,0,1,0,0,0,0,1
12,2,1,2,1,0,2,2,0,0,2,2,2,2,0,0,2,1,0,0,2,0,0,2,1,1,0,2,2,2,0,2,0,1,0,2,1,0,2,0,0,1,1,1,2,0,2,0,2,1,1,1,1,2,2,0,0,0,0,1,1,1,0,0,1
13,0,1,0,0,1,2,1,1,2,2,1,2,1,1,2,1,2,1,2,2,0,0,0,0,0,2,2,2,0,2,1,1,0,2,1,2,2,1,0,2,2,2,1,2,0,0,1,1,0,0,0,1,2,0,1,1,2,2,2,0,0,0,1,2
14,2,0,2,0,1,0,2,0,2,0,0,0,1,2,0,1,2,2,1,2,2,2,2,2,1,1,0,2,2,0,0,1,1,1,1,0,2,1,0,0,2,1,1,0,1,0,0,0,1,0,1,1,1,0,2,2,1,0,0,2,1,1,0,0
15,1,0,2,2,1,2,0,0,2,2,0,2,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,2,1,0,2,0,2,2,2,1,2,0,0,1,2,0,2,0,0,2,1,1,1,0,1,2,2,2,2,1,2,1,2,2,0
16,2,2,2,0,0,0,2,2,1,0,2,0,1,0,2,2,2,0,0,0,2,1,0,0,1,1,2,2,2,1,0,2,2,0,1,1,0,2,1,0,0,0,1,0,0,0,0,2,2,1,0,2,2,2,1,0,1,0,2,2,1,0,2,0
17,0,1,1,1,1,0,1,0,2,1,0,0,2,2,0,2,2,0,1,1,2,1,0,1,2,2,1,1,0,0,0,1,0,1,1,1,0,0,2,2,1,2,1,2,1,2,0,1,0,1,2,0,1,1,2,2,0,0,0,1,1,1,2,1
18,0,2,0,2,1,1,0,1,1,1,0,2,0,1,2,2,1,2,0,2,2,1,0,0,1,2,2,2,2,0,0,1,1,0,0,2,2,1,2,2,1,1,2,2,2,1,2,0,2,2,1,2,1,1,1,1,2,0,2,1,2,1,2,1
19,0,1,0,2,0,1,0,0,0,0,2,0,2,0,0,1,2,1,2,0,2,1,0,0,0,1,0,1,2,0,1,1,1,2,1,0,1,2,0,0,2,2,1,0,1,1,0,0,0,0,2,1,2,0,1,1,0,1,1,1,0,1,0,1
20,2,2,1,0,1,0,1,0,2,2,0,2,0,1,1,0,1,0,1,2,2,2,2,2,1,1,2,1,1,2,1,2,1,1,2,0,0,1,1,1,2,1,1,0,0,0,1,0,1,0,2,1,1,2,2,0,1,2,2,0,2,0,1,0
21,0,1,2,0,1,2,2,1,1,0,1,2,2,2,1,0,1,1,2,1,1,1,0,2,2,1,2,2,1,1,0,1,1,0,1,0,1,2,1,2,2,2,2,1,1,0,2,1,0,0,1,2,2,2,2,1,0,1,2,0,1,1,2,1
22,1,1,2,1,0,2,0,1,2,1,0,2,2,1,2,1,0,1,1,0,1,2,1,1,0,2,0,1,1,2,0,2,0,0,2,2,0,1,0,2,1,2,1,2,0,2,2,0,1,1,2,2,2,0,1,1,2,2,2,1,1,0,1,1
