PEAK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
11,73,-84,-47,-4,-125,-29,-31,94,-111,-22,-114,-32,104,-1,37,-41,-90,-54,1,-81,-44,93,54,103,64,77,49,120,39,-20,-117,30,91,-82,39,100,-84,-113,78,62,107,2,41
12,-53,-68,-24,-123,117,-121,-66,2,-109,-68,-7,122,-86,116,-6,76,56,-42,125,11,82,-69,121,66,-37,102,-61,23,-82,-58,75,122,-59,-120,126,124,-88,-4,101,95,-8,9,37
13,-107,-105,60,-43,55,-57,63,-3,-26,68,58,-98,73,79,36,74,-60,68,-9,75,6,-56,36,-19,117,43,-51,78,-73,-34,60,119,126,6,-49,-68,57,-99,119,115,-80,-38,67
14,52,-7,-118,-110,88,-83,-69,9,127,-78,-50,-61,-100,106,-113,25,-56,-33,-14,108,109,-51,114,-117,-125,-4,5,-126,77,29,27,-52,66,-2,51,-73,39,72,-89,80,-114,-15,65
15,55,-28,-72,127,77,22,-66,-99,-33,-50,113,-110,106,12,-46,-71,67,89,5,35,89,-32,54,-122,106,-84,-67,-18,61,111,-118,7,21,37,75,-12,-11,-30,-99,14,-107,69,125
16,20,63,102,77,-111,47,-59,5,-125,-72,119,51,-127,22,12,72,67,3,-11,40,54,53,1,22,-80,30,96,-99,73,-36,-93,104,-79,-116,-82,-56,-10,87,-62,-38,-57,-85,-83
17,64,-122,30,-54,97,32,95,-52,101,-124,63,78,-89,118,21,29,-58,-74,-121,86,12,-27,-29,-75,-22,-82,-101,-96,83,-98,-75,-50,-10,-13,79,17,-103,-25,-33,44,-34,-94,95
18,83,-101,-107,49,3,-36,-92,-18,-92,-93,-61,39,-11,-89,-51,-104,-124,123,-92,-39,88,-85,-100,-80,-107,20,-47,-58,-51,82,-41,51,-79,80,-9,118,-80,63,4,61,55,62,76
19,-35,87,-19,107,-30,-38,56,55,-91,25,-88,-32,-58,-43,26,-29,-63,31,69,-49,-40,-81,39,72,7,-21,109,7,-10,-114,-70,54,35,-38,99,103,-46,-51,-25,48,-75,-100,3
20,-26,-10,113,9,49,-63,97,-99,-26,-117,-11,99,36,35,100,-20,-59,56,97,-119,-79,-124,-25,8,25,-120,-103,95,34,-100,20,18,4,-30,-52,3,-44,87,20,-107,38,-97,4
21,105,-14,-55,-57,70,127,-84,-114,-68,-81,0,-11,-56,-18,88,-32,-104,103,107,81,-5,-39,-113,62,-28,54,29,-120,-78,-35,-28,72,-7,-87,11,48,-52,-70,42,-120,87,29,-69
22,-126,2,-42,-70,-53,115,62,-47,-99,-40,-95,-109,103,-9,74,-34,-60,93,16,-27,-97,-24,-49,111,116,-40,-76,78,29,-74,125,54,14,-54,9,117,0,76,-110,0,27,-63,-13
23,-113,-74,45,74,114,-38,85,-46,112,-127,8,25,-42,105,-82,-82,-112,5,87,-53,-96,-82,52,-40,49,-80,105,73,-107,-113,-12,37,-45,-61,-84,40,-70,-40,-20,53,63,-26,122
24,124,38,-40,58,-98,-41,-113,84,-12,-120,92,-84,-103,0,22,6,82,78,117,119,-53,75,123,108,96,-111,105,29,-36,-7,96,17,-47,55,103,114,-26,108,101,-36,16,-119,-95
25,12,-52,-43,34,-6,85,60,94,113,71,-37,-125,93,51,-92,9,-125,0,3,76,102,-66,-119,50,-14,9,-81,30,55,63,-42,31,74,-9,43,8,-39,123,-114,13,-94,-47,112
26,115,5,-27,118,58,108,-21,-100,16,107,-51,-94,73,45,-10,-103,-20,30,-114,-113,-42,-4,-78,108,-17,44,91,11,-106,-103,52,6,-14,-48,97,88,115,78,86,2,-60,57,116
27,52,-110,14,3,35,93,45,41,-71,94,31,66,-7,94,103,41,123,-2,69,62,-35,16,122,-19,83,-4,-6,8,83,127,-31,-114,17,47,112,0,-5,-83,-61,-14,80,-33,-21
28,105,75,-56,-83,76,-39,-119,-54,89,79,-89,-65,-96,-37,-124,-113,-29,84,-81,-92,0,114,113,-95,-60,-74,77,44,-6,-127,16,100,29,-19,-16,41,-77,67,-14,24,1,36,-7
29,63,1,-40,-37,74,-58,-77,-48,-71,0,101,73,25,-39,-30,91,-91,112,59,-18,4,-18,55,73,48,-110,106,68,59,-52,67,-56,81,96,125,23,-32,91,125,-61,-83,95,-119
30,123,48,-109,-94,-64,118,-3,-9,47,69,69,-64,-53,-68,23,68,43,-23,123,10,3,65,-121,-47,9,122,-10,-100,21,-31,-121,-79,19,-90,-1,101,69,98,-28,-124,-21,-105,-28
31,-64,91,-75,-67,-45,-50,105,127,112,70,23,-95,-124,-74,65,-110,96,113,61,-101,-39,-20,75,-9,56,57,18,74,86,50,106,-97,76,-4,-67,8,-49,14,82,38,-75,-21,-18
32,-90,-71,-69,-103,104,107,37,104,-85,11,77,20,-112,0,-59,35,84,60,35,-106,64,-4,107,-62,87,69,-122,13,-60,-66,39,-86,-6,-99,107,-17,-34,-101,-79,-118,23,-39,-90
33,-95,-61,-56,61,51,112,42,-106,24,65,-25,-126,-84,85,-88,-122,21,45,39,-81,105,-39,87,-52,-69,-88,-112,-58,-126,-65,117,35,95,-121,-123,4,-20,47,-22,-27,-1,87,3
34,110,-82,11,54,-84,-69,-43,-109,-124,-10,60,-99,-94,34,117,-23,-122,98,123,-30,94,-77,92,55,-44,89,24,-110,123,-60,107,-28,115,-75,32,34,-24,118,-12,-75,11,-113,-7
35,-44,-3,123,-10,0,-49,-107,-54,-78,-9,-40,-64,-32,-79,-70,-81,99,87,-104,-122,-32,-36,-5,-49,-43,77,75,53,-60,116,-66,29,86,-33,-56,87,-106,15,28,-47,117,14,-77
36,19,-38,60,-111,-38,48,-112,-25,-1,-51,-7,-46,96,-76,97,-9,-97,-123,59,-88,-112,-20,63,97,-31,53,45,-78,17,-80,26,-13,-101,-78,11,-60,-27,-22,88,110,2,24,76
37,-17,-6,-57,5,53,97,86,75,-79,-120,-50,51,-70,-92,-104,-116,-25,116,53,125,-110,0,56,71,127,94,62,116,-2,-48,-91,121,113,-62,-28,-17,-53,21,-32,-10,-113,52,31
38,-40,120,-102,65,114,0,96,-66,48,46,40,109,-44,38,-34,-87,-112,-40,116,93,65,85,25,-41,-42,90,-21,-10,100,-28,5,0,116,13,81,-8,-51,-48,111,81,12,124,-70
39,70,19,-43,104,87,3,2,-73,-24,40,-10,-35,-26,-114,-51,70,49,45,-81,-68,-4,94,78,69,109,71,-112,99,63,-68,-97,113,91,-22,55,28,83,-81,-123,11,-107,35,120
40,-126,50,43,-57,60,-59,-101,-46,-25,-72,-85,-51,-96,-14,-8,-118,-94,8,57,-14,-16,-90,99,109,-96,-96,118,-60,-11,-56,114,121,19,-80,1,-68,98,85,-34,-85,-94,-86,104
41,33,24,89,-60,10,-53,4,-116,19,-41,1,-65,7,-109,-17,107,-126,127,-71,-116,-69,-48,-48,49,-26,21,80,106,-10,-46,7,-85,13,20,-121,60,28,55,24,-79,-65,-59,69
42,11,30,0,10,-3,114,45,-56,71,24,-39,-120,-22,50,26,51,96,123,-16,71,-126,41,60,91,-100,-37,102,-45,-46,89,-61,106,73,64,-17,90,10,-114,0,36,63,-56,66
