PEAK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,148,19,-54,2,62,-56,-74,117,75,-48,-127,40,-97,22,133,-54,-11,57,36,-37,54,-22,86,-35,-109,-9,-200,11,77,102,33,-119,-251,104,188,0,-11,-80,201,0,48,-59,-60,-60,49,72,-16,-90,10,66,48,3,19,-64,-1,161,45,-46,-24,-24,-18,74,-44,8
11,-97,104,286,41,-11,-65,84,-100,-22,-43,94,14,308,83,92,-68,-6,-108,-4,-97,-86,-74,9,24,-54,-22,98,89,-3,-21,51,-5,26,-17,-29,-62,36,-35,-170,-7,-80,23,-92,65,230,114,23,-120,-77,40,88,48,-65,-27,10,-24,45,-44,47,-8,65,-1,-249,96
12,18,-108,-17,-20,71,-2,33,-29,-72,65,21,-23,-162,-28,28,112,-68,-14,-54,2,-20,48,14,30,11,-64,94,-4,-14,-101,-24,88,110,-37,-270,61,41,44,-84,-42,25,140,169,105,-18,-146,25,169,53,-62,-40,106,44,76,-18,-100,-32,10,-88,-12,12,-14,81,-103
13,108,14,12,124,32,-16,8,-26,69,-47,31,-70,135,42,37,-1,-41,-85,126,5,162,-40,-24,-56,-108,109,1,0,-60,34,145,34,-56,-33,-13,-29,21,-30,-63,-53,-105,119,-11,1,-46,68,-93,-108,-15,-81,-47,68,-96,-104,-34,188,6,4,-52,36,-42,68,-81,-54
14,32,-50,61,45,-2,49,11,38,2,-44,77,-11,151,39,50,41,-22,-11,-98,-50,58,-55,-115,69,19,-36,-106,46,112,73,273,-83,34,19,354,-60,11,-21,94,50,52,-157,-67,-148,36,42,145,52,-10,64,48,-87,112,-63,-108,8,160,0,23,-29,50,54,21,164
15,138,-28,-158,26,-13,58,11,56,107,44,-54,-43,-67,47,-30,16,-16,-2,-21,2,15,98,-284,-76,-45,97,104,-87,-10,-88,102,100,128,31,-76,40,31,70,-11,-32,-58,68,-87,113,30,-68,-192,-2,-53,-55,-60,-70,151,-52,-7,9,50,43,40,9,-91,40,112,-116
16,65,13,18,26,51,36,19,14,-38,-48,-44,-31,208,6,56,-64,51,-3,28,-59,86,13,-2,28,14,16,-68,20,42,42,135,-88,-63,43,305,34,32,-26,-2,42,120,23,-111,-41,37,96,-15,-2,-5,92,17,115,78,251,-124,-55,62,-67,24,-34,-29,24,-17,152
17,-3,14,196,92,22,48,32,-66,-102,19,-43,63,-128,52,20,-76,-7,13,62,10,108,30,101,84,-10,-60,-60,79,-98,71,-74,71,-72,102,-34,11,46,-36,-44,-1,-7,27,-24,-54,186,-40,39,-138,-101,-53,66,174,38,113,-15,-91,-289,58,-9,-64,-5,-58,-103,-170
18,-21,6,53,-46,-134,53,49,217,122,-45,45,-10,-112,8,-77,-10,-78,-32,-2,88,-41,36,43,-108,-27,56,-33,-13,-70,-55,168,128,90,-92,128,47,-53,68,-29,-89,156,-4,5,-38,71,58,59,62,48,-4,-17,1,44,8,-81,-104,22,43,20,-30,19,-130,-29,-94
19,81,-4,-19,15,38,73,-6,180,-37,-18,-146,-30,-106,-74,24,3,16,56,-34,8,35,87,-57,-22,-21,43,-96,-104,42,5,-66,-57,-75,189,88,-29,-73,-38,137,-14,-25,-25,1,-58,-66,134,-84,-113,51,-26,-83,8,10,45,-67,50,-50,12,-91,11,-46,68,42,101
20,-54,121,-34,-89,42,84,-13,38,-5,38,30,49,-10,19,-61,-39,39,-15,-22,82,20,-10,94,-108,-69,98,-32,91,-36,-7,-84,184,104,-42,-77,-56,18,-66,-159,-39,18,109,-25,6,-431,14,-41,134,-45,-81,-42,-52,-161,-20,-50,-125,83,-34,82,62,-8,-87,69,-76
21,-68,20,-13,132,-104,-60,8,-91,69,-32,126,-20,-62,48,80,100,-21,-35,-172,19,-204,110,-40,33,27,-124,40,-79,17,-33,2,13,-36,-130,-124,27,51,76,7,-80,-7,-227,34,33,259,-26,15,35,83,43,113,60,-30,-97,116,100,-45,18,-10,-74,75,-18,-39,-15
22,-120,46,-90,44,-143,72,57,106,128,-82,-46,-60,-90,-35,4,-52,-85,60,-28,81,-31,8,-58,97,12,-41,-30,-39,82,-39,-5,99,18,-88,48,-20,2,81,-9,33,3,-112,10,80,58,-38,-34,-65,-10,-52,46,-92,126,-12,34,108,30,81,8,-18,60,-5,43,9
23,-39,156,-110,-18,-61,-9,-20,37,37,-22,109,-90,95,49,43,6,-47,125,-58,2,2,61,-24,-35,-68,-107,-78,69,18,20,-50,142,51,73,47,111,6,6,-38,21,83,32,41,98,67,-52,14,0,38,14,60,-74,84,-48,-22,-42,43,61,55,91,86,-22,106,120
24,-84,68,39,-38,-149,-1,-10,88,83,32,79,11,12,34,-46,0,-14,3,71,56,-142,96,-10,-112,-2,-24,-66,187,-30,-15,-20,6,62,-21,-272,-17,-20,-153,156,-34,-74,45,70,-144,116,-31,-160,-36,-45,-10,0,-44,20,167,29,125,-10,71,-12,5,8,-44,48,-43
25,94,-88,37,72,-43,-10,-14,41,100,48,67,8,45,94,-30,-24,-29,-41,-72,-28,-25,15,82,-92,-105,44,54,33,-38,12,-12,204,92,31,144,2,6,19,-82,7,-90,52,-68,-115,-200,-92,-62,18,-63,-54,-125,14,-6,-65,-63,-19,163,57,52,21,-32,-19,63,-78
26,-5,-2,-116,197,57,27,-25,38,115,-15,-14,-85,20,-32,-8,-130,-99,-84,90,73,-46,-101,182,-16,14,38,88,30,-78,-33,-13,-46,-229,-90,36,19,61,-21,-117,55,-142,-37,7,-2,-4,18,52,-111,-37,14,58,62,33,-144,31,198,62,108,-45,-14,31,6,24,125
27,33,172,22,-2,-31,-30,37,73,17,25,39,24,8,22,-27,69,76,0,122,0,-41,96,-12,-2,95,-8,1,-81,32,-7,-151,-30,50,-31,-135,-2,-97,16,-20,-127,120,77,55,-141,48,-26,-203,-17,33,41,40,-173,-55,157,3,196,-87,-17,-21,72,-60,-57,111,-56
28,127,52,118,82,110,-86,-52,26,99,153,-37,44,-130,-13,48,-55,40,9,-84,-106,-77,16,-82,-52,21,-16,-66,-89,-52,24,-47,11,10,37,105,-2,8,-48,139,43,-121,-129,-22,53,69,-80,-52,16,57,71,-63,-30,136,-198,13,-53,103,-77,-37,-13,-43,-42,-51,100
29,121,12,-72,51,-49,-52,-9,79,-86,-21,-93,30,-156,-116,-75,13,119,30,-4,-27,-199,-26,15,86,79,-46,114,-51,32,39,-66,-325,-14,-18,-4,-60,-23,-2,127,-38,-4,-137,-1,-60,125,-11,-130,-45,-70,42,-9,112,53,22,-24,154,12,5,35,4,-65,-10,63,8
30,46,-140,12,-129,6,-27,41,-122,52,19,-84,6,-57,-14,-25,-35,14,-82,94,-1,92,12,-172,-48,22,-20,152,-111,0,-53,12,124,-18,99,35,60,-81,49,-17,-37,24,-46,-22,48,58,-29,-27,-37,5,-30,-48,-102,65,-62,11,-193,-37,18,-70,-11,-47,82,24,-66
31,-37,58,85,-16,-25,-44,16,133,87,-62,-12,80,35,23,70,-108,3,57,51,-36,-146,-65,-109,-26,30,-37,-64,6,63,-34,-105,-49,50,71,-39,0,12,-70,124,30,-51,-95,-42,26,2,36,8,-102,20,-6,-21,84,-27,68,31,3,-50,7,13,-23,-20,71,-130,104
32,-45,-112,14,-56,-102,-23,-12,-139,-28,22,51,77,152,42,61,96,-27,113,140,-101,-105,79,12,96,103,-56,26,21,214,-31,48,-143,138,9,96,-27,17,-64,77,60,33,1,-71,-14,38,142,38,110,-52,78,-48,36,83,164,-90,68,-130,-84,54,33,-20,36,-1,122
33,-41,85,-23,9,-38,32,-4,100,-25,61,-82,-163,-25,-62,-45,-29,29,57,-24,-50,20,-2,54,-4,-39,61,58,-23,56,18,-83,116,-35,106,-1,46,-26,39,-260,21,-5,138,-39,122,-114,136,34,22,-6,-24,6,-36,-6,112,22,-162,138,15,29,46,10,-24,2,135
34,-47,-26,60,24,118,32,31,-41,-37,-52,118,-58,165,2,-15,-65,-2,-177,-46,9,-3,-131,8,21,-25,13,92,166,-32,34,42,32,-81,-62,-44,-44,85,30,-61,6,22,-28,-87,70,286,-26,60,-65,-7,-14,62,18,41,55,16,-26,-62,86,81,-36,80,6,-42,49
35,-48,-160,19,28,16,-130,-9,98,14,18,-22,1,106,62,2,16,32,77,-24,134,2,28,-46,1,89,30,-63,-14,-66,-36,-108,183,163,-62,278,27,-44,8,-81,33,-4,75,-21,8,-337,14,119,138,81,11,-120,84,47,-144,-36,-116,-76,45,-39,-88,-10,-28,44,-16
36,-80,-106,-149,24,103,67,-35,-72,-141,-45,-61,-61,23,52,8,92,-21,52,-12,51,124,-78,148,154,25,5,-66,-29,-34,47,-89,-207,-46,-50,110,1,7,-38,90,84,-90,7,-27,88,-102,-40,187,-130,16,84,123,-6,17,-22,-32,-168,-38,49,36,-24,68,-4,3,54
37,-4,264,178,42,68,25,40,-167,-33,-47,-155,-30,20,-24,-2,-169,29,7,184,-97,122,-53,36,-30,52,-61,28,34,-142,40,118,-277,-77,71,-61,3,27,-123,-151,-22,-146,-61,-118,-21,166,84,-18,-152,7,74,38,14,-98,-112,30,-27,-208,-87,3,26,-27,54,-192,-26
38,54,-138,-90,-94,-16,37,-115,40,57,59,48,86,4,70,80,94,-74,3,52,47,-3,59,45,-68,42,2,-119,189,101,3,-75,144,89,35,-90,-94,-30,-106,342,-26,-22,110,-20,-34,-97,-12,-105,6,-8,-16,-94,6,50,222,-66,54,99,-27,94,46,-28,13,43,-61
39,-6,-12,-80,-74,-146,-38,54,62,146,-94,28,-18,-138,-52,5,-31,25,13,57,48,43,96,-67,-66,-93,-48,127,-33,0,23,30,72,-2,-32,-25,-4,-30,176,88,-102,100,36,2,-85,-212,-10,-164,-40,-52,-73,-2,-21,22,-34,48,94,24,35,-40,-21,-30,67,13,-128
40,30,31,-21,58,58,114,35,20,3,41,32,-6,-118,60,-5,-30,19,-71,104,0,98,54,-41,49,-24,27,27,-110,-60,-36,67,73,0,68,158,-34,47,104,-125,8,239,-80,38,74,118,-8,28,-60,-82,-87,-4,126,147,29,-113,122,-74,-29,16,55,38,-80,45,-20
41,76,-62,-142,-111,-27,-12,-77,79,-89,70,-57,-106,66,-4,-82,51,15,-33,-75,-95,-132,1,78,10,39,-11,-47,-111,2,-27,-64,-224,-71,57,-112,115,-67,-59,72,-39,-89,54,-50,42,53,14,-28,30,84,118,48,-86,46,88,-26,61,27,-38,-69,5,4,-10,35,8
42,9,172,91,68,-26,-7,32,127,-80,28,12,21,60,74,-63,-57,-2,-11,-36,-83,-79,69,-164,72,127,-69,-50,14,77,61,50,9,78,76,26,52,43,-24,-121,-16,20,-92,-98,-29,52,64,-36,-49,-13,-16,0,60,44,121,12,120,-4,-74,43,-10,14,-54,-67,-8
43,-95,-102,-103,136,-38,23,28,-129,63,-14,12,56,27,121,59,-45,-8,-68,-58,104,-33,-28,240,-38,-81,34,-5,-96,-32,24,-31,176,-152,5,57,-104,-8,21,-106,-19,-29,-5,4,-48,-222,70,62,-60,-24,-20,48,108,8,-68,13,1,-87,-18,23,-45,50,12,-63,-2
44,-97,92,-45,-76,-45,-10,-26,103,-22,-92,-38,26,153,2,30,-38,23,58,-52,2,-97,-26,-32,-50,-12,-4,-25,-36,2,38,-44,-141,14,-50,191,-40,-38,-24,-44,22,24,-42,-38,-50,-60,6,-18,10,-28,13,-38,36,-35,-87,-16,40,46,-36,-50,5,-7,56,21,46
45,-36,-34,3,-161,48,-18,-4,65,15,-53,2,-20,-167,19,48,59,-76,-59,-24,36,-119,-7,-2,2,-97,90,-72,177,6,2,-97,40,-7,13,-281,-9,-16,-70,48,-27,-65,14,40,-57,-100,-18,-113,-84,-60,-47,11,-7,-75,159,-25,-2,138,69,34,-1,32,47,-28,-90
46,41,-26,14,112,59,-6,3,-101,-17,-72,41,29,-20,-8,43,-4,0,-5,187,14,168,-107,-50,155,12,-2,31,95,32,30,3,16,-56,-33,14,-46,43,29,112,-30,262,-13,48,-102,-10,14,-14,-169,-80,-99,14,156,-35,11,38,53,-80,30,82,24,-20,49,99,-10
47,0,9,-161,-161,50,65,-13,-79,-106,-18,-48,27,210,-90,4,21,52,-39,144,-48,-6,-116,64,46,13,-4,-10,-19,64,-66,-152,80,89,-48,137,-58,0,-15,-147,10,66,90,-46,42,-87,100,-65,50,1,79,-6,-56,-28,294,-22,49,-111,-31,7,22,55,14,-38,158
48,62,122,8,-62,36,8,-14,22,-47,7,-3,-17,-13,-16,-69,-73,77,47,104,-85,38,-2,162,76,-46,7,72,-1,-103,2,33,-101,-12,100,-91,84,-15,-33,-36,-76,-14,88,32,4,-48,56,-34,-48,-12,-62,47,89,-80,114,7,-71,-104,-68,-49,63,3,55,-150,-61
49,-17,127,-74,-3,-41,46,69,133,24,-70,23,12,-83,-58,48,-95,-22,-4,38,82,-90,19,-67,62,51,-68,-2,84,10,92,-47,-28,-87,-24,110,1,56,119,-150,-22,22,-145,-20,-99,217,62,-69,29,-30,47,-3,-100,123,11,-22,103,79,-26,-41,8,40,-28,-28,148
50,-106,-82,100,32,-92,38,43,82,-51,-23,193,-54,191,166,96,42,-38,60,28,-44,-49,76,-50,107,3,10,-47,190,113,19,7,-50,84,33,-28,27,-11,-50,-129,130,45,56,22,-22,210,101,2,-6,-118,73,75,-54,-5,276,-126,59,-26,-35,31,-31,73,0,23,12
51,-16,-37,69,39,-81,-45,45,36,96,49,-62,70,-248,-10,38,-98,-88,-44,-43,-124,-36,-4,117,-68,-47,-24,42,15,23,29,-22,-67,-60,1,-63,-47,-3,0,-27,12,-78,119,-1,79,-44,20,-148,-16,-92,-64,-63,166,-9,74,48,-175,54,-2,87,-57,-17,-68,-159,8
52,17,-78,44,16,-28,-77,16,-72,-55,9,-30,-12,-185,9,-19,92,63,-40,-14,31,-70,-12,-88,48,-22,-82,181,-72,-41,9,-98,-101,42,94,-136,-32,-28,74,-5,-102,-21,76,74,-9,6,-56,-160,-10,11,-80,-85,85,43,12,99,55,-39,45,-58,-10,-23,77,-12,-122
53,-73,50,12,-78,-26,48,44,-106,33,-59,26,-3,10,-42,34,35,31,-50,32,78,-8,-36,-25,20,-17,-42,138,-32,2,-55,67,23,-119,-95,-22,92,4,58,-95,-1,78,-223,-8,12,316,-24,-19,-46,10,-60,104,-21,-107,40,-4,48,-135,14,-10,44,63,81,-51,62
54,85,-274,-141,34,-62,-32,42,50,-37,1,16,-51,-58,17,-30,55,14,38,2,16,-4,18,-24,-15,-6,-54,59,-177,-4,-73,-98,64,100,-46,13,37,-58,-12,-107,-30,4,-97,9,24,-152,-30,32,138,46,104,-65,4,-31,89,-91,53,-23,-47,-71,-31,-22,16,47,-67
55,20,72,13,40,113,-52,-55,-78,40,35,91,72,-37,4,13,26,-2,-87,18,-40,-84,-115,70,-3,14,-30,-41,68,-46,-7,-145,153,21,-46,-194,-105,-54,-130,26,-101,-24,17,86,9,6,12,-94,9,51,50,23,-125,-114,78,113,61,6,77,-32,33,28,-45,-42,-31
56,-46,-16,-57,-113,-30,24,-18,-81,-6,-73,37,-9,-171,-18,14,74,-60,56,-56,-4,-79,-22,112,0,-4,-56,48,-92,56,-6,-45,-46,-168,-18,-158,68,-29,87,172,-21,29,36,3,132,138,62,100,28,36,8,92,-153,-28,22,41,-81,-46,36,-36,1,19,4,-33,-114
57,94,-14,0,64,72,-13,-21,-60,-15,5,-64,62,-86,-88,-79,-16,25,-46,31,-42,116,41,-10,44,-27,-11,22,-204,62,-37,-32,162,-81,-11,47,13,38,62,-3,-47,247,-175,53,-76,-55,-34,-46,-52,34,-80,-73,91,-70,-71,37,165,-156,-67,-83,47,-34,7,171,-128
58,-20,-32,36,-100,66,-82,-42,-19,1,22,28,38,-58,2,0,9,-44,76,8,-90,-18,27,4,-61,-35,6,-130,-44,-16,-5,-169,48,-47,-24,-28,24,-24,-22,91,114,-62,-51,-36,130,125,-74,17,-92,30,6,-130,-75,25,24,18,166,-26,-4,14,140,10,-60,-67,-4
59,38,-17,-37,-103,48,26,-84,-76,-5,41,-16,-101,152,20,-116,-20,82,-60,96,-12,63,-192,-100,46,-26,144,-38,-3,-156,-147,-106,38,169,103,104,32,-24,-72,57,-41,-15,52,11,102,47,-102,32,-14,107,-79,-42,54,-16,9,16,-107,74,33,42,-3,19,81,5,22
60,-26,111,106,-88,27,2,15,-72,20,46,34,30,-42,-52,32,-22,-15,10,6,-32,-150,30,-38,-65,2,34,42,126,-53,6,54,100,88,-19,-177,-16,-50,-19,242,-46,95,42,30,-86,102,34,-62,-68,-8,-27,-59,8,8,125,43,-33,-2,-50,-17,-11,-31,-76,-74,-54
61,56,-15,-172,6,-74,36,-130,-60,-24,6,-5,-94,4,58,-18,9,28,18,60,9,-41,14,80,-48,-34,44,-159,32,142,-18,26,-51,106,108,107,37,13,-76,-148,53,-58,43,-95,-3,-12,111,43,92,-8,-36,-10,37,-42,4,-72,132,130,-66,63,45,50,60,94,94
62,71,67,-128,-152,16,47,-74,92,2,100,-49,-66,-73,-67,-24,-10,-3,78,81,15,45,-122,42,52,-37,86,-144,24,-108,-27,-101,146,202,15,-148,14,-81,-119,163,-75,118,104,61,-23,-260,30,-14,-8,40,-86,-58,-24,-82,40,-14,-144,60,-31,22,66,-18,-61,37,71
63,-74,-94,188,166,-68,-34,134,-150,11,-12,96,25,-121,18,60,-44,-87,-9,-138,156,-65,-8,-43,-115,-10,-76,34,-14,-47,-61,-10,310,-80,13,-180,26,30,24,-59,-3,64,-81,74,39,-8,-4,31,-92,-3,14,-91,80,-6,-87,-20,-32,-64,77,48,-6,-20,-69,73,-66
64,0,0,0,0,1,0,0,-1,0,0,0,1,0,0,0,0,1,1,-1,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,1,0,-1,0,1,1,0,0,0,-1,1,1,0,1,0,1,0,0
65,1,0,1,0,0,0,-1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,-1,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,1,0,0,0,1,0,0,0
66,0,0,0,-1,0,0,0,0,0,1,1,-1,0,-1,0,0,1,0,1,0,0,-1,0,0,0,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,-1,0,-1,1,0,0,0,1,0,0,0,-1,0,-1,0,1,1,-1,-1,0,-1,0,-1,-1,0,0
67,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,1,0,1,-1,-1,0,-1,0,1,0,0,0,0,0,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,0,0,0,0,-1,-1,0,0,0,-1,0,0,-1,0
68,0,0,1,-1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,-1,1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,1,0,1,0,1,-1,0,0,0,0,0
69,1,1,0,0,0,1,-1,0,0,-1,0,1,0,0,-1,-1,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,1,0,0,1,0,0,0,-1,0,1,0,1,1,-1,0
70,1,0,0,0,0,-1,0,1,0,-1,0,0,1,0,0,1,1,0,-1,0,-1,0,0,0,0,0,1,0,-1,0,0,0,-1,0,-1,0,1,0,0,1,1,0,0,0,-1,1,0,0,-1,-1,0,0,0,0,1,-1,0,0,0,0,1,0,0,0
71,0,-1,0,0,1,-1,1,0,-1,0,1,0,0,0,1,0,0,1,-1,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,1,0,0,1,1,0,1,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0
72,-1,1,-1,0,1,0,0,1,1,0,0,-1,1,0,1,0,-1,1,0,0,0,0,0,1,-1,0,0,-1,0,1,0,0,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,-1,0,1,0
73,0,0,0,0,1,0,0,0,-1,0,0,-1,0,0,0,1,0,-1,0,0,0,-1,-1,0,1,-1,0,0,-1,-1,0,1,0,0,1,1,-1,0,0,0,0,0,-1,0,1,0,0,0,1,-1,0,-1,1,0,0,0,0,0,1,0,0,0,0,1
74,0,0,0,-1,1,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,0,0,0,0,0,-1,1,1,0,0,0,1,0,0,0,1,0,-1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
75,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,1,1,0,-1,1,0,-1,1,1,0,0,0,0,-1,0,0,-1,-1,1,1,0,-1,0,0,0,0,0,1,1
76,-1,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,1,-1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,-1,0,-1,0,0,0,-1,0,0
77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,-1,-1,0,0,1,1,0,0,0,0,0,-1,1,1,1,0,1,0,-1,0,1,0,0,0,-1,0,0,-1,-1,1,0,0,0,0,0,0,-1,0,0
78,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,-1,0,1,0,0,1,-1,1,0,0,-1,0,0,0,0,1,0,0,-1,-1,1,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
79,1,-1,-1,-1,-1,1,0,1,0,1,1,0,0,-1,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,-1,0,1,1,1,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
80,0,1,0,0,-1,0,1,0,1,0,0,0,0,0,-1,0,0,0,-1,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,-1,0,0,0,0,0,-1,0,0,1,0
81,1,0,-1,-1,0,-1,0,-1,-1,0,0,-1,0,1,1,0,0,1,-1,0,0,1,0,0,0,0,1,-1,1,0,0,0,-1,1,0,-1,0,0,1,0,0,0,0,0,0,-1,1,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1
82,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,-1,-1,0,0,0,0,1,1,0,-1,-1,0,0,-1,0,0,0,1,1,-1,0,0,1,0,0,1
83,0,0,0,0,0,-1,0,0,0,1,0,1,0,0,0,1,-1,0,0,0,0,0,-1,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,1,-1,-1,1,0,0,0,0,-1,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,-1,1,0,0
84,0,-1,-1,-1,0,0,1,0,-1,1,0,0,-1,0,-1,0,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,-1,1,0,-1,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,1,0,0,-1,-1,0,0,0,0,0
85,0,0,1,1,0,-1,0,-1,1,0,1,0,0,0,1,1,-1,0,1,1,0,0,1,-1,0,0,0,0,0,0,0,1,-1,0,1,0,0,0,1,-1,1,0,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,1,0,1,0,0,-1,0
86,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,-1,0,0,0,-1,-1,0,1,-1,-1,-1,0,0,0,-1,-1,0,-1,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0
87,0,0,-1,0,0,0,0,-1,0,0,0,-1,1,0,0,0,0,0,0,0,1,1,-1,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,0,1,1,0,0,1,1,-1,-1,1,0,1,-1,0,0,1,0,0,0,0,-1,0
