PEAK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
13,-35,-44,21,-108,-34,-11,29,142,-46,-50,20,31,28,16,-84,115,134,-109,-74,88,-95,-44,21,26,-42,82,85,-13,36,-25,20,17,65,-126,94,-119,-76,36,-102,-44,-20,-49,55,-146,46,-50,37,84,-106,-110,-37,42,79,37,-76,42,2,168,-27,-27,118,-25,-51,-20
14,-73,34,69,-113,-4,-119,62,46,11,-147,-84,100,55,18,98,108,157,22,74,-1,129,50,-107,-83,-12,-12,-15,39,71,43,77,-43,-16,-76,63,-124,-74,25,98,-66,103,-7,17,-231,0,-26,-40,-46,-31,64,-17,73,52,-18,94,-5,-24,-1,97,-14,-166,64,1,11
15,64,-26,-26,-43,79,-16,52,-94,92,22,-67,41,9,-54,32,26,92,-28,178,-12,-19,-15,55,47,-7,56,41,-107,30,-137,26,-8,-91,0,-60,-66,111,109,12,-42,20,32,42,52,-24,86,46,108,-10,92,21,-15,85,2,82,22,-31,-78,-98,-29,-24,-16,-1,104
16,-19,-26,16,92,-40,-57,46,-72,-28,70,48,24,99,72,46,-94,80,40,-106,-105,-81,106,-3,-31,8,-52,18,-128,76,-14,-32,18,-126,-21,-16,39,17,-8,-51,140,20,-105,-13,28,25,60,-28,-150,-108,54,-40,122,-27,-25,-52,124,-98,-274,-85,15,45,-55,-36,102
17,-16,-40,12,-94,-6,-6,17,-96,-147,-70,86,13,51,49,29,134,-68,40,-44,60,-15,21,-44,37,-30,-2,5,4,41,-61,-31,81,65,28,70,74,7,53,-56,13,-46,140,9,81,-58,98,31,-4,-108,-62,12,129,16,120,-172,-190,-54,116,12,-18,146,-19,-98,68
18,-32,34,23,-24,70,-111,-74,-203,-105,-21,33,-11,7,1,30,79,-52,22,-182,-140,-101,-58,16,-72,-73,-122,36,-131,116,59,-37,20,-25,71,-11,15,-33,-79,8,-74,-25,-18,32,64,-27,42,75,6,136,-17,21,32,-82,-19,116,-165,-19,-120,-33,77,112,111,-128,57
19,-13,4,34,118,-14,-39,11,189,-28,-60,14,-116,10,66,-59,28,-95,78,-93,69,0,90,-2,-21,-24,7,-70,17,-72,60,-20,-74,-66,28,30,62,-140,-56,5,-50,-12,34,26,-84,-23,1,-8,-44,37,-12,23,-10,-85,-20,-150,135,13,136,-25,46,-66,26,-32,-44
20,-49,-4,93,-3,-134,-12,-9,112,133,17,98,-31,32,-64,57,-59,-191,-76,-172,-12,-99,-69,-4,-86,-10,28,-18,11,30,63,33,53,-30,1,-63,89,-116,-5,115,-31,-63,-31,-19,-62,-10,-24,-30,11,75,-76,16,-82,-107,-56,137,-58,28,79,-131,-60,-128,73,-135,-36
21,-68,68,-6,-104,12,-15,-51,23,-3,-72,-18,-46,7,-47,11,37,48,99,-218,64,-147,1,-45,-51,50,58,-30,44,-8,-78,16,46,2,0,10,7,23,-23,77,-23,-4,-126,-6,134,42,-2,71,9,276,38,-89,34,84,-25,4,-146,47,106,130,20,64,22,111,16
22,-43,18,-29,-24,4,-88,20,-64,-27,-12,7,16,16,30,-59,-48,102,19,-64,-28,-130,-13,-32,-14,26,-72,75,-7,-13,5,6,-87,10,-46,22,48,84,-102,-9,8,-34,-130,-8,12,94,-4,-55,52,160,-49,-62,116,-8,28,154,199,-36,-134,-30,-64,55,48,-178,16
23,0,31,-25,12,56,73,-119,-149,-51,-97,-35,-131,26,-46,-3,-35,-10,8,42,70,84,-204,-2,-26,-8,106,-114,141,26,43,64,-110,-25,28,82,-22,-43,-164,8,48,-90,63,-43,-113,-70,49,31,-96,-73,14,26,24,-44,-35,-66,9,82,34,32,-20,26,124,19,96
24,13,94,24,6,37,46,42,-126,-28,55,-12,-46,11,-4,-21,-34,-9,-54,-66,9,-141,91,2,-14,103,1,50,38,-14,-48,-25,2,38,2,-103,69,79,-94,-15,-77,-39,-152,34,-60,56,-12,-137,-32,73,164,16,30,-71,-11,83,-45,-79,-15,38,-75,-10,-74,11,-56
25,-5,-48,-51,-7,-60,30,-1,-34,-62,97,-136,15,11,10,47,-26,-11,90,2,-2,14,57,1,-77,28,19,140,4,74,-31,35,-28,-106,73,43,139,-71,-62,-26,117,-59,-3,-44,-36,-92,54,10,-32,-20,46,-41,132,-44,44,12,-40,8,-210,-25,-11,-96,88,-25,138
26,48,-44,16,-26,-18,-4,-19,18,-15,42,-19,28,-37,-6,-24,-28,-24,46,-104,-8,-46,-6,68,-11,-104,26,-53,5,-40,15,-78,64,75,100,17,40,-100,3,-23,2,14,72,-6,-9,-6,-82,-110,52,-93,-59,-84,112,22,108,-186,-170,-26,18,119,-8,-38,-81,32,-84
27,-57,10,-9,168,32,66,14,-186,-56,-30,105,-11,-30,78,35,4,-24,35,-100,-42,45,38,-1,-6,58,-48,32,-80,38,22,38,-11,-111,23,4,12,142,-15,-19,7,-31,-165,-107,100,26,6,68,62,-128,148,111,-42,18,-43,-110,-93,-54,-10,78,19,58,35,105,-130
28,110,2,-33,30,66,56,-76,33,-67,108,-38,-76,-55,-20,-71,94,85,94,-9,42,-17,62,54,90,-36,42,-36,-50,-40,68,-16,-43,152,-27,100,36,-36,-49,20,-44,-8,-22,-55,11,-97,48,8,46,-5,2,-24,-34,-56,-7,-162,20,2,-10,47,91,-103,-109,-39,24
29,-43,-12,-107,-64,-92,124,52,-52,118,-55,41,110,22,-54,40,-11,-48,58,105,48,184,39,21,27,-64,40,34,-46,-20,-17,72,32,79,-173,91,-94,2,78,-44,49,56,-12,8,-74,19,-52,-25,30,-252,-183,-9,-152,-54,-22,14,35,-23,73,20,65,14,22,20,4
30,-47,-8,22,54,-50,37,-6,-92,-45,19,-85,73,-44,2,-27,21,-21,-8,-34,22,-29,42,66,-110,-44,-22,69,-58,0,-22,17,2,91,11,2,-28,58,-10,5,-18,11,-16,-84,25,-60,2,107,-36,3,-55,-55,156,-83,-85,-63,-118,36,-68,202,37,-110,-27,46,-22
31,-149,24,126,-74,32,30,13,-61,-31,31,25,10,25,82,141,-16,-56,-27,-74,-39,-148,57,76,2,-2,-22,-130,30,87,-35,-28,-13,-66,128,25,2,18,-80,-22,-45,7,-93,-31,-71,29,136,84,35,42,220,21,41,-14,47,-23,-119,-11,-214,-1,-3,77,-9,-99,78
32,-80,-34,8,26,-119,18,1,0,24,9,153,30,54,155,49,37,-20,30,-57,21,20,67,-65,-65,-20,36,76,104,-34,26,50,-39,4,49,3,73,-105,-1,15,51,-16,80,-74,-193,55,-61,-38,-105,-68,-104,21,36,17,96,47,76,16,22,82,-19,23,62,32,-88
33,170,-58,-46,-3,37,-78,-83,138,-42,-4,23,-66,-17,-52,-50,-24,0,1,101,63,75,-80,-43,58,18,-44,-125,143,-6,47,-80,16,-85,-13,-48,-22,42,-51,52,29,-57,49,160,-51,36,-32,-26,-19,154,-190,-79,60,31,25,9,229,-27,137,-280,-38,88,39,34,56
34,15,60,31,-48,-8,51,18,76,52,32,-63,-68,66,7,-45,-54,76,-125,-4,-89,1,-22,-13,-29,-84,108,78,-35,-74,-68,94,48,-10,-19,-79,6,24,-22,-64,-86,76,-40,-77,16,34,-22,66,-13,-47,-150,78,64,-56,-50,68,-81,74,-214,119,-14,-52,0,-60,-37
35,-2,-10,9,18,-4,-36,-25,-48,-41,30,65,27,1,100,33,-43,-102,20,-36,11,-65,-2,-30,-77,-31,-76,32,144,-4,65,1,-25,-3,-42,-77,60,16,-106,25,32,-85,106,-65,10,14,-2,-44,-140,-152,-116,17,68,-28,70,-66,55,3,-152,76,60,-16,3,-162,32
36,-33,43,-24,-162,53,-10,-11,82,2,42,-86,48,-21,-27,-17,-65,12,-17,-20,15,-200,-29,60,-3,68,14,60,85,30,-12,-104,57,-74,-57,-116,-44,43,-36,18,-4,51,40,54,-10,-58,-3,0,-70,57,56,-37,22,102,-37,44,-103,-25,-64,118,-50,-1,-90,49,-13
37,-78,4,-27,52,-40,-67,22,-94,138,-49,5,-18,-59,-22,94,-37,-110,33,-42,61,-100,50,79,-72,15,-80,-68,-151,64,43,-44,2,-67,-15,47,4,-84,71,-61,6,12,-117,-27,-42,-75,70,58,48,233,238,-21,-100,-32,-58,88,165,52,-46,-14,-56,14,-13,-7,81
38,11,-20,-69,-14,-62,23,-8,41,100,18,17,0,-56,-40,-103,-21,-76,-27,10,16,-194,-17,38,-60,50,55,132,105,32,-51,-22,-65,-14,-76,-90,-26,24,-113,-41,-34,-26,6,-12,9,34,-4,-137,58,-31,-70,-100,46,52,8,-135,66,44,146,163,-25,-32,-14,106,-44
39,-7,-83,9,-28,82,-35,91,4,-118,-19,-48,1,93,4,-94,146,102,-84,194,-44,136,0,-30,117,16,92,98,-58,14,-56,48,-59,6,33,14,-43,-79,56,22,-61,116,75,27,-168,-22,102,23,-90,-150,31,32,18,72,58,5,62,-46,102,-86,-36,22,80,92,-38
40,59,-14,-22,49,67,-58,-32,-112,-2,40,51,15,72,46,-24,33,-10,-5,-98,-64,102,79,37,-31,-57,62,44,-33,-14,147,53,-15,-22,174,0,26,-44,-31,-16,-7,-35,23,-49,-44,-44,50,-71,97,140,146,-42,-12,-23,36,46,-7,-10,-148,-3,-42,-56,14,-6,-90
41,-32,10,17,-71,-62,60,-1,25,-42,51,-74,-15,-34,-82,-34,-8,135,0,-4,14,35,-25,-32,36,83,6,-83,-30,106,2,-37,116,78,-88,-16,18,-20,10,-72,42,-66,-18,-54,14,6,-22,-44,91,-55,-65,-56,-110,28,102,-47,-96,51,-74,-86,28,-104,-70,30,12
42,226,-3,21,55,170,-1,-17,59,-53,28,-42,-39,1,-112,29,74,159,-62,134,-48,68,-48,4,61,-63,102,-84,42,1,3,-24,56,77,-66,56,-83,-31,30,-14,4,46,105,2,-32,-2,9,-32,-141,-57,134,-10,-14,41,24,-74,68,68,124,70,-40,-56,-66,83,114
43,29,18,-35,-56,-115,64,32,118,34,55,-119,46,4,-103,-6,-124,64,32,147,46,-144,-26,16,27,187,-8,85,31,-84,-30,-45,-100,-4,14,-67,54,-16,-60,73,-51,-65,-72,-22,-93,46,-8,-10,102,116,334,59,-125,-7,20,17,10,-10,-77,-179,-74,-315,25,-12,-20
44,27,49,108,-107,46,-28,-17,120,-52,27,70,9,-25,116,-35,91,-8,20,-85,-60,30,117,-98,-123,-69,20,-66,61,74,78,41,-72,-25,40,12,89,-42,-64,42,-17,19,-14,-2,-107,44,-66,12,20,-38,-84,12,-9,-2,-20,-168,-149,52,-171,69,59,-28,-75,30,-26
45,-90,29,-21,-64,55,0,7,-83,-33,-17,24,-44,24,75,-12,-29,-3,1,-25,26,-30,-64,-52,-47,-9,116,-50,53,-48,44,-13,-24,-60,130,71,72,-18,-12,-30,41,-50,28,-69,178,12,79,-16,10,133,176,-18,-76,76,35,-98,-104,62,-46,186,13,14,20,-79,106
46,-7,-26,-80,-183,-42,154,-61,-20,-1,23,32,-46,8,-37,4,-33,-92,-126,60,42,-106,-152,45,9,36,44,-80,69,-114,-53,-2,-8,90,-63,2,-30,-6,-24,36,-45,-35,-2,-54,146,111,14,2,14,82,68,-24,-40,50,17,-89,-34,-24,-92,31,-30,161,9,-94,31
47,5,-10,-24,-108,-78,-56,-66,-84,-17,34,3,-56,-70,82,62,39,80,15,-58,19,-36,-9,18,-81,-42,24,29,-99,10,9,10,4,-11,83,-24,16,-134,-57,43,-10,-71,-67,-13,74,13,-42,19,4,69,22,-28,16,59,-39,-148,43,58,-275,110,93,-50,25,11,-34
48,1,14,-81,85,-64,48,-24,-156,33,20,54,34,-89,88,-10,24,-298,-40,-34,63,-36,-36,7,-62,-22,-34,-13,14,-72,21,-27,-53,-24,-69,-59,-45,109,-58,-12,-95,-82,64,-14,55,4,-24,-70,40,-86,-162,36,-35,-140,-121,187,127,-11,92,144,-18,42,-13,-80,-128
49,25,22,49,16,90,-39,-8,-58,40,-81,-44,-2,36,60,53,38,-41,31,55,-45,-30,67,-5,-18,-95,126,39,77,12,-24,11,-89,-61,142,-65,-26,62,-33,-9,77,-25,-46,-54,16,119,-69,-47,-175,-55,151,24,68,58,-37,-36,25,-26,-46,256,-29,3,38,72,-71
50,-44,-16,-33,-116,-32,-23,-65,43,133,73,10,25,-5,62,52,78,-30,40,34,55,-129,63,34,-65,-65,108,18,13,2,-108,-72,-6,-71,0,2,32,12,-46,65,9,-5,-5,32,-5,45,-56,-56,84,-65,22,-9,-118,37,-52,-12,46,52,64,51,88,-48,32,93,20
51,54,42,-70,-31,112,41,8,-93,-42,54,-77,-40,-95,-14,-93,14,-104,15,51,60,6,42,8,18,-4,6,-10,-150,-112,9,-8,-108,-75,-15,-31,89,82,56,11,-31,-42,-99,62,50,28,-20,33,18,138,18,34,-104,-28,-48,121,148,-50,-179,-136,29,20,-83,-20,-39
52,14,-27,47,-154,1,-54,39,133,-21,40,11,-27,-32,-30,35,-2,3,-86,82,-41,-25,28,-26,2,9,18,-115,-25,88,3,-47,-14,107,-39,-66,21,9,104,33,10,57,111,4,26,-67,28,-27,44,144,34,-49,-30,22,-4,-102,119,30,-279,26,-56,-40,-21,-34,70
53,46,4,-54,138,-26,29,-64,42,-34,-63,-39,-21,-23,5,22,30,171,135,50,35,-44,17,-120,-52,-60,-30,18,33,21,-1,20,-69,22,-44,124,-80,6,-26,47,30,42,-29,-3,-19,57,-4,16,-40,-122,20,-6,120,116,37,1,216,50,102,-68,19,-142,10,143,94
54,44,19,-13,20,-32,23,29,-35,-138,-87,57,-48,34,-88,-52,54,79,62,-56,-30,126,21,-118,-3,25,-64,-2,-120,-36,-48,-45,92,33,66,-24,-22,9,130,-24,-28,34,-5,70,191,38,-46,-51,24,-8,14,10,8,11,-13,42,-72,-102,128,-34,39,37,47,33,-52
55,-9,31,-20,-97,20,-115,-6,-208,-77,-79,-57,-67,-32,-14,-27,90,219,19,-72,-123,-46,24,14,25,-26,-68,112,-124,110,-4,-30,-93,8,-62,-34,-14,-60,31,-79,-4,4,-4,57,26,84,45,-35,0,138,142,56,-35,-71,9,128,-14,-61,-132,-14,-2,121,-31,-90,-58
56,-4,40,-32,-40,48,48,-2,-104,-73,-80,-23,-122,28,62,-55,53,104,58,44,-83,73,-10,19,36,-89,8,116,-111,-102,-80,-4,-31,40,13,56,19,-18,14,-64,-75,6,69,-38,61,-111,112,16,-49,-88,46,116,121,-23,20,68,-163,-20,-38,36,-16,126,54,-134,-34
57,-76,-59,-28,-130,-126,86,-24,26,-64,5,37,-11,13,-20,72,11,48,111,-76,11,-58,-19,10,133,15,-30,-138,76,143,-54,-40,112,97,104,70,-46,36,-5,59,42,81,-143,25,-33,-58,36,121,87,-42,63,-33,98,115,79,-136,-97,35,-105,106,-7,100,4,74,124
58,19,-44,83,-178,-3,-75,73,47,-42,-121,-21,-31,-6,32,27,58,-124,38,-82,-48,5,52,-93,-12,-7,-126,-28,-57,161,-29,33,-28,10,206,-3,130,9,22,51,-61,58,-67,38,-44,18,-58,49,52,127,-56,-83,72,102,-17,-214,-230,-45,-72,-13,-14,4,129,21,-41
59,34,0,-74,82,56,90,-42,-114,15,142,-18,-43,-61,59,-64,-28,73,-100,99,-6,63,-43,65,-2,-54,82,-66,-26,-22,-10,42,54,53,14,-16,0,47,-57,-12,18,0,-4,-58,42,-86,50,-34,-26,-52,-98,-12,-48,-18,27,-1,216,60,-126,39,29,103,-17,61,3
60,59,-17,-2,86,-25,-56,-50,64,122,-60,97,-47,-22,44,93,-43,-193,55,32,-19,27,-33,-7,-4,-60,-66,-196,16,32,98,-15,36,56,-46,27,10,96,12,46,13,-4,73,0,-5,28,-69,4,20,-24,8,-9,-48,52,16,-16,114,2,138,-17,21,-92,-10,-26,-42
61,81,-26,9,116,80,-52,-76,43,82,-3,106,-43,44,118,89,-11,66,-66,16,-41,20,30,112,-92,-191,46,-22,-8,-58,-47,-9,88,32,-17,46,45,48,-43,-42,77,-24,43,-4,21,-33,-12,47,-124,-139,-58,0,188,-97,-48,-129,65,-28,42,4,28,94,-67,29,22
62,5,17,34,45,-92,29,75,35,-5,6,25,-63,96,15,-29,-61,112,44,-12,-114,20,34,-24,-57,14,-26,84,-80,-1,-82,3,78,59,-129,-15,48,-72,-8,-45,43,17,10,-18,-26,-16,64,-17,-138,-30,26,-36,-26,-116,58,22,-64,0,-36,-79,25,-16,2,-1,-10
63,-3,-20,70,2,-49,-53,4,136,-68,45,80,6,48,0,20,79,-84,164,-90,-29,66,41,80,-15,-35,0,-100,61,12,47,-8,32,91,15,51,-50,-259,-81,-1,12,41,222,58,-70,-26,83,126,42,43,-56,-79,35,-55,48,-84,-82,34,-75,-3,-22,122,-104,-88,28
64,0,0,1,0,0,1,0,1,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,-1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0
65,0,0,-1,0,0,1,0,0,0,0,0,0,1,0,-1,0,1,1,-1,0,0,-1,0,1,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0
66,0,1,0,0,0,1,0,0,0,1,0,-1,0,0,-1,-1,-1,-1,0,0,0,1,-1,1,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1,0,-1,0,0,1,0,-1,1,0,-1,1,0,0,0,0,0,1,1,-1,0,0,0,-1
67,0,0,0,0,1,0,0,-1,0,-1,1,-1,0,1,0,-1,-1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,1,0,-1,0,1,-1,1,0
68,0,0,-1,-1,0,1,0,0,0,0,0,0,0,1,-1,0,1,0,1,0,-1,-1,-1,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,1,-1,-1,0,-1,0,1,0,0,0,-1,0,0,0,0,1,1,0,-1,1,0
69,0,0,0,0,0,0,1,0,-1,0,0,1,0,0,1,0,-1,0,0,0,1,0,0,0,-1,0,0,0,1,0,1,-1,0,0,0,0,-1,1,0,1,0,1,-1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0
70,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,-1,-1,0,1,1,0,0,0,0,0,0,0,-1,0,0,-1,0,1,-1,1,0,0,0,0,-1,1,1,0,0,0,0,0,1,-1,0,1,0,0,0,0,0,1,0,0,0
71,0,0,-1,0,1,0,0,0,-1,0,0,0,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,-1,0,0,0,0,0,1,-1,1,0,0,0,-1,0,0,1,0,0,-1,0,0,1,-1,0,-1,0,1,0,0,0
72,0,0,0,0,1,-1,-1,-1,0,0,1,1,1,1,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,0,-1,0,1,0,0
73,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,1,1,0,-1,0,0,0,1,0,1,-1,1,1,1,0
74,-1,1,0,1,1,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,-1,0,0,-1,0,0,0,1,1,1,0,1,0,1,0
75,0,0,0,0,0,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,0,-1,0,0,1,0,0,0,0,0,-1,0,-1,1,0,0,0,1,0,0,-1,0,0,-1,0,1,0,0,1,1,0,0,0,0,0,0,-1
76,0,0,0,1,0,0,0,0,1,1,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,0,0,0,0,0,0,0
77,0,0,-1,0,0,0,0,0,1,0,0,1,0,-1,0,1,-1,1,-1,1,0,-1,0,1,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,-1,0,-1,0,1,0,0,0,-1,1,-1,-1,0,-1,1,0,1,1
78,1,0,0,1,0,0,0,1,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,0,0,0,0,-1,0,1,0,0,0,-1,0,0,0,0,-1,1,-1,-1,0,1,1,0,0,0,-1,0,0,0,1,-1
79,0,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,1,0,0,-1,0,0,0,-1,-1,0,0,1,0,-1
80,1,0,1,0,0,0,0,1,0,-1,-1,0,-1,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,-1,0,0,0,1,1,0,0,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,1,0,0,-1,0,0,-1,1,1,0,-1,0,0,0,0,1,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,0,1,0,0,1,-1,0,0,0,0
82,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,1,-1,-1,0,0,1,1,1,0,-1,0,0,1,0,0,-1,-1,1,0,-1,0,0,-1,0,1,0,0,0,0,0,0,0
83,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1,-1,0,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,1,-1,1,-1,0,1,0
84,0,1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,0,0,1,-1,0,0,1,0,1,-1,-1,0,1,0,0,0,-1,-1,1,0,-1,0,1,0,0,1,0,0,0,0,0,-1,0,1,1,0,-1,0
85,0,1,1,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,-1,0,0,0,-1,1,-1,0,1,0,1,1,0,0,0,0
86,1,0,-1,0,0,1,1,0,0,0,0,-1,0,0,1,0,-1,0,0,1,-1,0,0,-1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,1,-1,1,0,-1,0,0,0,0,0,0,0,1,0,0,0
87,-1,1,-1,0,-1,0,0,0,-1,-1,0,1,0,0,-1,0,1,-1,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,-1,0,-1,0,-1,-1,-1,0,0,-1,0
