PEAK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
13,-35,4,-130,-69,62,-38,-57,11,-59,7,-21,81,-98,-200,-18,82,-44,14,-109,-40,-151,-59,20,52,-7,55,-54,-10,5,-46,-78,-29,-172,-45,-21,-69,45,52,102,27,7,-80,52,137,11,38,14,-22,74,67,-19,-55,60,-8,24,50,134,-20,20,221,208,-5,-39,140
14,-39,65,86,-61,-10,-51,46,145,62,-6,18,-39,-26,17,167,-84,169,146,60,12,-15,17,9,-12,-55,134,-42,-47,-30,-54,-191,11,58,195,-28,39,-185,17,-10,-22,132,26,71,-43,-64,35,4,52,-53,6,0,-46,-81,-32,-36,-27,-2,-52,35,179,-122,-10,125,22
15,-42,-17,-15,-42,-75,20,34,107,-3,-18,150,88,-31,106,-108,96,-156,-13,-4,100,-3,-63,-28,-23,-54,47,-66,-10,20,26,-14,13,113,-17,-8,-17,40,20,13,-3,30,28,106,-153,2,-92,20,76,23,-72,-60,-74,-19,33,-15,69,29,-19,139,108,81,-14,-19,-4
16,7,113,194,59,46,30,22,-10,17,56,-88,4,-15,-174,-90,-50,20,86,80,-10,80,6,138,62,48,13,10,18,10,53,0,-15,47,48,22,-20,-21,-8,-73,53,-13,34,-50,86,-32,102,-12,42,22,3,32,-31,-108,-40,15,6,-18,-14,175,-66,-13,-74,-41,18
17,58,-1,36,108,-36,-42,-92,102,-29,14,97,2,-63,-98,-48,47,-86,121,-14,22,123,29,-54,74,41,23,-64,-56,-46,33,37,44,63,-19,42,1,26,68,42,-14,49,4,57,34,-53,0,56,58,57,-46,-69,36,-65,44,58,88,26,-12,-21,71,-82,-74,29,-52
18,-150,13,23,26,-168,16,36,202,76,-9,128,49,91,255,96,-30,-80,50,-10,91,83,124,2,-132,72,13,-51,64,-18,75,103,-2,-51,-81,84,36,-91,2,-8,66,18,35,-28,-111,-89,55,38,94,-86,49,133,-20,-25,-68,-83,15,-32,-50,24,11,-34,-76,8,-8
19,33,37,-56,40,12,-20,-197,80,-15,43,-6,22,20,222,34,56,-60,141,-127,8,160,69,-42,1,-14,-54,-133,-35,22,54,69,-14,9,30,45,70,80,-102,11,59,-21,6,-23,75,-4,-76,86,98,10,-36,14,-48,-51,-112,-3,-4,42,-59,41,187,-21,-68,99,-44
20,-11,-64,81,-7,-43,-153,-52,-64,11,23,0,18,89,33,-16,69,170,55,-130,-139,125,110,59,-33,-5,-20,43,-80,62,22,104,46,-23,88,4,86,-125,18,66,97,-16,-12,-125,88,-56,43,-43,36,22,16,-136,14,-70,-20,4,-39,-15,-24,106,-14,-53,84,61,-114
21,-20,8,22,-7,12,-33,-45,-44,15,66,23,33,-53,127,96,-86,-21,-52,-40,-29,-12,-50,62,-21,-71,-14,-28,-25,-82,36,91,-10,-67,12,4,117,81,-62,13,-3,6,-19,-35,56,8,17,92,-22,-21,-63,-4,31,-95,-82,-28,-12,-14,-69,-44,146,-14,-62,-94,-8
22,-4,-67,-6,10,-18,31,70,32,91,-29,82,8,-32,189,14,-65,-49,-87,94,-30,42,100,-82,-153,-108,-192,-20,2,-38,-45,85,36,-16,-21,-8,92,128,-12,-56,16,42,-19,-154,54,-22,-42,14,-20,-67,-11,63,33,39,36,-67,43,20,20,-26,57,-44,-2,-76,-8
23,-22,-2,-237,-31,21,52,-11,-88,15,1,-16,-174,43,144,-92,18,-14,-57,66,-24,36,17,28,-9,-68,-49,12,78,-6,-16,69,29,11,-35,-89,60,115,0,-83,44,2,21,-40,71,11,-56,21,-99,-8,-38,122,5,78,25,-9,81,-39,67,111,50,194,11,2,-6
24,75,-42,-35,45,-62,86,-34,198,-30,44,-72,-96,-47,142,-129,4,-165,4,29,2,53,107,-31,-48,4,-10,-23,-81,-6,-14,126,-36,174,25,89,58,-35,-20,-47,-52,-21,63,-65,-64,-150,-10,20,83,-67,-22,-82,71,47,58,-113,-12,58,-24,-58,21,-178,-64,1,-14
25,99,4,-189,42,10,64,-4,170,23,-61,36,-47,-19,-52,-19,-37,-62,22,62,46,-23,-85,14,33,26,-63,-23,-91,-76,54,40,-60,-68,-1,132,18,-24,-27,48,-54,-4,-12,80,-32,-11,-13,59,7,13,45,130,-21,143,-18,-118,48,7,82,-182,105,-12,79,-59,154
26,-8,0,-175,48,-7,-71,-77,-131,-67,-9,-6,-38,15,-153,-47,20,78,52,14,64,-29,46,67,65,75,102,15,-47,-95,-74,-136,8,-80,-114,-10,-76,16,46,-63,-4,31,-13,62,32,-7,-38,15,-60,-24,76,14,77,5,-41,103,83,-74,-11,47,-154,168,-94,146,-61
27,-56,-3,-22,-14,-33,-12,-36,32,50,-5,65,15,-22,70,104,6,-116,-45,-38,8,2,-2,-32,-23,-5,-42,-28,-50,114,77,52,-4,-72,32,33,-51,-52,160,-52,-25,12,44,36,-108,-21,36,34,192,0,-128,7,-69,-46,16,42,40,51,-68,-172,154,84,70,-32,53
28,-157,70,-3,-4,-51,75,231,-100,35,-24,59,-1,-83,-158,100,-142,-51,-7,-24,99,0,36,2,-66,-11,-95,3,-22,-98,-68,-50,126,-15,-237,-104,-13,81,118,-12,4,36,-31,24,15,-30,-82,10,-150,-31,-98,52,-32,-133,5,66,72,-9,-28,-57,121,71,-93,-29,-54
29,14,3,-162,-56,-16,-1,-74,45,-16,-6,-90,-23,-56,-120,-87,8,-54,72,-133,46,-12,-44,32,11,-47,-11,15,-53,46,34,-122,-44,-160,-4,26,-17,-112,-35,31,-36,-39,18,108,-83,31,-74,-74,1,28,-31,-54,-54,37,32,96,26,55,12,-57,67,-37,22,1,38
30,-8,-46,-24,-15,-72,18,-31,5,-67,-4,45,-64,-35,215,36,27,-20,12,-35,-32,-82,32,-40,62,-124,-12,22,96,46,0,-151,61,156,-8,29,47,-16,24,-67,33,2,26,7,-10,37,-74,-8,-17,-123,-68,240,40,-27,83,-47,-17,17,31,66,-116,58,22,-14,-60
31,17,-57,85,-40,-20,-81,1,197,41,70,-44,-151,-48,15,-146,49,8,-14,-130,-18,-93,152,-34,37,-7,5,66,-10,33,-48,-114,-10,23,211,-73,186,-125,53,40,-11,-13,-91,0,4,4,-4,-62,-8,139,43,32,-10,30,20,0,-56,43,5,-39,-48,42,31,65,-12
32,-30,69,-163,8,18,-111,10,-112,-54,2,-76,25,-69,-77,6,-92,134,41,-121,51,76,-83,-10,-16,49,-115,21,23,-174,81,-93,40,-84,-81,-44,5,70,0,38,15,-76,-6,4,174,-25,-16,-124,-70,46,37,-24,3,8,-74,115,-28,-48,42,50,-64,9,-80,-18,-58
33,129,47,58,2,99,-57,102,75,2,41,-7,38,36,-25,-105,-11,92,-62,-57,-39,24,23,14,-114,84,170,35,-27,-45,2,155,-116,-216,48,-30,33,-25,10,42,-12,-60,30,3,-94,-43,12,-29,100,6,67,112,-78,-26,-112,-41,-6,71,-4,-81,-86,-78,47,51,33
34,16,6,6,61,-34,85,23,15,69,-23,116,28,8,-45,179,-184,-58,-16,63,50,-108,38,124,58,-8,79,-23,109,-91,-12,-64,8,71,7,61,-44,70,-15,-53,58,6,-53,20,-101,6,-47,56,18,-56,66,55,52,-62,-25,-128,74,-21,-62,-52,-158,72,-93,19,-24
35,-93,20,177,22,-93,-76,82,-71,-77,37,127,-72,91,1,-59,-32,185,24,66,16,-27,-53,-68,73,111,-22,36,32,40,-8,-86,106,109,-43,-14,47,-71,-40,-81,71,-11,-7,6,30,10,33,70,40,3,-11,40,-31,-79,38,28,28,-24,6,-59,-126,68,10,-26,65
36,6,23,15,-2,156,32,-63,151,-46,7,50,-57,73,36,22,56,-39,-30,-112,46,61,12,0,24,-38,177,-29,62,-88,-67,43,27,-84,-43,10,-72,39,-47,2,-59,4,7,72,181,73,-32,145,75,-45,-58,216,37,-33,-8,-19,-44,23,56,-27,56,136,-84,-37,15
37,-18,-24,-20,-25,-49,100,-33,120,-6,129,68,9,29,55,37,38,-89,-30,-58,9,-26,71,-29,-69,6,164,43,56,-125,-73,88,133,105,-42,13,48,-132,1,66,-27,26,24,-15,36,49,18,52,-36,-22,-74,-48,9,-5,15,21,-45,-30,73,-67,109,-38,-40,-10,-22
38,-47,-20,188,-56,-136,-71,91,-120,42,-39,80,24,-87,-64,164,-35,11,78,7,29,-52,-72,-34,15,21,-119,63,82,84,8,-134,78,90,90,-79,74,-66,92,20,-36,66,25,-6,-41,8,5,-50,43,1,-76,-231,26,-39,27,-37,-166,-6,-9,201,70,-163,-12,22,-64
39,16,-6,138,-22,-46,-111,130,19,71,-58,50,-18,55,42,22,-17,-60,-66,34,-43,-15,-29,73,-36,-87,25,37,-87,-1,-8,73,-98,-10,2,-116,66,15,23,-9,-10,-32,51,18,-74,-27,6,43,-50,3,60,72,0,-108,-54,-19,-27,27,-115,-6,-33,-70,-100,-88,-28
40,48,-31,35,39,4,-52,31,148,32,74,-59,53,70,-106,92,-60,-92,72,49,-93,101,41,-20,64,100,11,17,35,40,66,-72,-26,-134,-20,62,36,-135,3,48,122,11,12,-15,-178,-18,-44,-94,-160,-49,20,-136,-15,18,-2,45,96,10,-46,-166,-52,-120,38,41,40
41,-109,57,84,-7,12,15,37,-18,-12,10,20,2,47,-28,-84,-23,-41,-42,-130,30,-1,1,10,-41,96,-59,-20,98,3,18,157,10,-28,5,-96,9,34,-22,141,-8,13,-8,42,-4,52,-11,27,70,88,47,168,-58,18,50,52,-21,48,40,109,-43,-34,6,66,1
42,-56,-15,-103,-58,-50,14,11,56,48,-14,9,43,18,22,58,74,-230,26,24,80,24,-20,18,-13,57,-3,-62,15,85,28,38,-63,-186,-75,7,-73,-155,-73,28,-10,-5,55,44,62,26,16,13,164,-10,47,142,-170,18,20,-28,45,106,25,2,123,45,40,-40,70
43,-75,57,-120,-21,-40,35,166,-245,56,-62,-26,-5,13,-95,60,-90,98,-50,132,7,-119,-33,90,71,87,-109,110,-2,-65,-131,-110,1,-10,-137,-137,-12,85,-2,-91,21,-43,-46,60,57,42,27,-163,-114,-26,90,102,7,-52,-2,23,26,-110,21,-46,-92,106,-17,-66,-26
44,-44,30,44,-23,-60,12,-21,13,-2,-41,-75,-32,4,-61,94,-152,-24,17,-49,11,-63,-134,16,32,55,-16,10,5,-80,46,24,-69,-102,-27,50,129,71,-19,45,64,-100,-78,-128,38,-27,63,-21,-49,-19,66,-48,11,-36,-106,-11,-23,11,-63,-15,14,-142,78,-156,38
45,24,-70,-70,32,65,-7,62,-40,71,88,40,22,56,104,-14,14,16,-194,60,2,98,-76,9,50,-59,148,3,48,29,14,42,43,-37,-18,16,-61,111,87,-145,45,-16,50,2,-5,12,8,-30,88,-25,-140,-41,-22,-21,-80,44,49,-14,38,52,-19,145,19,-120,139
46,35,-34,-67,24,49,74,105,-85,166,23,76,-41,-68,114,-186,-14,-120,-74,80,58,182,-18,-20,-36,-110,62,-51,4,-90,17,158,105,181,-49,39,55,16,57,-77,-13,82,0,-92,-54,-108,-36,-56,-35,23,-26,-50,-87,32,19,-82,9,64,44,203,103,36,-87,54,-85
47,-26,4,-65,-47,94,-2,20,-70,-75,-60,2,1,-23,-34,-2,6,24,-116,-10,-98,-44,-9,3,36,26,-136,-3,-70,80,15,-51,30,32,-32,-54,27,158,22,-108,40,-26,-97,-55,102,20,-58,21,10,10,85,84,24,54,23,-66,-52,-67,-61,50,-4,144,-31,-5,34
48,178,29,-134,15,60,85,-136,18,61,-39,73,70,-74,74,38,-56,55,42,124,-7,75,-78,22,15,-9,-43,-83,82,-14,28,132,-39,-75,44,57,20,-6,-60,71,41,45,-40,17,-61,62,37,13,-52,31,7,76,-54,-2,28,-86,121,59,-71,31,79,86,37,18,-35
49,2,-12,34,37,21,-56,-7,-12,49,-56,2,-90,-8,-104,12,-10,-56,48,-6,-48,25,73,17,-10,23,-156,-41,-73,111,-18,-64,5,-161,14,-38,122,-86,-4,-19,79,22,-64,-8,-72,44,-39,106,-76,-29,93,252,-64,-28,16,-20,45,47,78,-159,76,-3,-45,102,0
50,37,-100,-39,-26,38,2,20,82,24,76,70,-5,-60,101,-4,103,60,-2,-78,64,146,47,-10,-61,-132,148,-50,-76,0,22,-22,96,-51,17,26,17,-84,10,-1,41,34,-8,-30,45,15,-14,18,10,-25,-28,-116,-58,97,-13,-38,-31,24,42,58,8,98,-28,41,6
51,-42,-12,27,30,-49,10,234,-111,37,38,6,88,-22,5,-33,-98,-32,88,128,56,-151,86,12,29,91,-239,64,109,-80,-76,-119,-42,123,-70,-84,28,168,-9,6,31,-46,-34,-46,87,59,5,0,17,-7,96,-52,-20,22,26,47,-6,15,31,26,-114,-74,-77,-13,-57
52,-18,-12,-15,-54,20,-43,117,-62,38,-50,-78,-18,-6,-118,-22,-124,74,120,-43,-2,85,-51,18,27,1,92,34,-24,-40,-11,13,-37,-226,15,65,30,-99,-12,4,93,-31,-46,-93,224,68,171,12,-46,10,64,-33,-42,62,-70,-39,-90,-25,-56,21,-88,99,14,-124,54
53,22,39,-10,-72,22,-19,-24,90,44,60,14,37,7,27,-4,52,-12,99,-4,-116,12,-17,18,-40,-105,250,66,-121,-44,-87,-86,-36,-91,58,-48,47,-116,25,64,-35,42,65,64,-69,-46,3,-52,-64,-24,-75,-62,-50,-86,-31,84,-27,39,-50,-2,193,-32,87,5,-28
54,-50,-16,24,9,78,-102,134,26,-59,-47,107,41,75,32,-41,4,16,-43,-70,-2,88,66,-67,-28,101,135,-52,127,-6,79,134,-86,-213,-48,-6,26,33,57,31,54,-30,49,9,-23,-27,26,-30,4,-40,-31,50,9,-5,-33,-15,31,-65,76,-11,-53,21,15,-8,50
55,82,-128,-39,-2,-50,-47,9,-70,43,-73,44,-56,28,7,98,8,28,47,20,73,80,26,2,12,-100,-142,-17,36,-90,-14,72,90,105,-25,101,97,44,29,37,45,10,-36,-8,-59,-42,-104,90,-6,13,27,-184,70,84,-15,-141,-11,-62,69,-114,-57,-32,19,91,-68
56,-58,57,104,16,-15,54,98,95,0,21,13,25,-14,4,-16,-102,14,17,32,5,13,41,18,-49,145,-196,-21,-7,-124,41,-10,32,15,-3,-41,92,-124,-123,10,-80,-21,-2,-68,-76,-94,74,-88,-36,-14,52,49,-12,-55,106,-100,-67,-90,27,-171,86,-124,-51,-95,-80
57,100,21,-70,79,-19,-77,9,46,78,-4,48,-18,3,-25,-18,-172,-92,-64,96,-44,3,-79,-6,65,54,-71,40,-73,-126,51,-103,-49,-20,-3,-17,42,103,136,81,-51,-20,43,49,32,-6,-6,-87,-133,48,-40,-22,35,-43,-100,153,86,-62,-26,-94,-143,-94,7,-122,-56
58,-1,8,163,-12,-48,-40,-86,213,9,-17,89,26,157,53,-100,71,-24,44,49,-18,59,2,8,-23,-40,162,-15,82,40,-13,-24,64,69,9,-4,-48,-52,3,7,24,12,136,67,-82,-31,-54,8,62,-95,-31,46,-35,-5,80,-37,-39,29,107,11,154,-72,-13,97,-22
59,49,-46,102,-18,-20,-36,89,171,-32,12,-43,84,49,28,8,48,-124,12,96,24,55,2,-71,73,58,-61,6,34,75,49,110,-20,88,0,1,21,24,-88,43,-18,41,61,20,-85,-17,24,4,121,24,7,24,-4,58,119,-61,-9,5,-38,-37,-144,-196,68,-38,16
60,86,-52,-207,-18,51,42,-102,192,-34,18,-81,-41,-43,75,-32,61,-70,-27,112,62,6,57,-21,-52,43,164,5,48,-16,-45,-47,25,-80,113,-40,16,58,-52,82,-62,38,8,72,22,-36,-2,14,-12,-11,7,-70,88,122,40,-75,-17,-18,53,-22,-29,-76,26,124,-50
61,3,-41,-5,133,-28,84,-95,80,-47,108,-64,36,28,147,-44,24,-140,-53,-102,87,-21,161,26,-39,27,-44,9,4,106,42,-8,19,25,-29,19,2,199,7,-35,125,-50,-52,-21,-132,-70,-94,43,-58,51,-30,-84,86,-18,-24,21,82,-18,-22,34,-78,-14,-58,205,4
62,-111,-14,6,18,0,-46,66,24,-75,21,50,-7,-30,49,-34,86,10,-25,-75,48,-20,31,16,-30,42,9,15,-27,30,93,19,-130,-102,45,-140,7,-50,86,-38,18,-86,46,54,59,-62,18,70,114,-11,1,193,-68,-88,-50,-10,-21,54,-43,-100,72,54,33,-28,10
63,-22,10,168,-23,7,-39,30,-102,-59,108,-18,-50,33,-19,100,-45,84,-54,95,-94,-103,31,46,64,-9,30,72,-34,34,-18,-56,-39,-3,-53,2,74,-5,42,6,56,-25,-26,-34,38,51,51,106,-80,40,-18,140,48,-87,-28,-4,51,-15,-207,-201,-200,98,1,-170,108
64,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1,0,0,-1,-1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,0,-1,0,-1,-1,0,-1
65,-1,0,0,0,-1,-1,0,0,-1,0,0,1,0,-1,0,1,0,0,1,-1,1,-1,-1,1,0,0,0,0,-1,1,0,0,-1,0,-1,0,-1,0,-1,-1,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,-1,0,-1,0,0
66,0,0,0,1,-1,0,0,-1,0,-1,1,0,0,0,0,-1,1,1,-1,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-1,0,1,0,0,0,0,-1,0,0,1,0,0,1,0,0,0,0,-1,1,0,0,0,0
67,0,1,0,-1,0,0,0,0,1,0,-1,1,-1,0,-1,1,-1,0,0,-1,1,1,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,0,0,0
68,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,-1,-1,0,-1
69,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,-1,0,1,1,0,0,0,0,0,-1,1,0,0,0,1,0,1,0,0,-1,0,-1,0,1,0,-1,0,1,-1,1,0,-1,0,-1,0,0,0,-1,0,1,0,0,0,1,0,0
70,0,0,-1,-1,0,-1,1,0,0,-1,1,0,0,-1,0,0,0,-1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,-1,1,0,0,0,0,0,-1,1,0,0,0,0,1,1,0,1,0,-1,-1
71,0,1,0,-1,1,0,-1,0,1,0,0,0,0,0,0,1,1,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,0,-1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,1,-1,0,0,-1
72,1,0,0,0,0,0,1,1,0,0,0,1,0,-1,1,0,0,0,0,0,-1,1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,1,-1,-1,0,0,1,-1,0,1,0,-1,0,-1,0,0,-1,0,-1,0,0,0,0,-1,0,-1,0,1,0
73,0,0,1,0,-1,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,-1,0,1,0,0,0,0,0,-1,0,0,-1,0,-1,0,0,-1,-1,0,0,0,0,0,0,1,-1,0,1,0,1,1,0,0,0,0
74,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,0,1,0,0,1
75,1,0,1,1,-1,0,-1,0,1,0,0,0,-1,0,1,0,0,-1,0,0,-1,0,1,1,-1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1,0,0,0,1,0,1,-1,1,0,0,1,-1,1,0,0,-1,1,0,1,1,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,1,0,-1,0,0,0,-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-1,1,0,0,0,0,0
77,0,0,0,-1,-1,0,0,0,0,1,1,-1,-1,1,0,0,1,1,0,0,0,0,1,0,-1,1,0,0,1,-1,0,0,0,0,0,0,1,0,0,-1,-1,0,0,0,0,-1,-1,0,1,0,0,0,-1,1,0,1,-1,0,0,0,0,0,-1,1
78,0,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,-1,-1,0,1,1,0,0,0,0,0,1,0,1,0,-1,-1,1,0,0,-1,-1,1,0,1,-1
79,0,-1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,-1,0,1,0,0,-1,1,1,0,0,1,0,0,0,-1,0,0,1,1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,1,-1,-1,0,0,-1,1,1,1,0,0
80,0,0,0,0,1,0,1,0,-1,0,0,0,1,-1,1,0,-1,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,0,-1,0,1,0,0,0,1,0,1,-1,0,1,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0
81,0,0,0,0,1,0,0,0,0,0,-1,0,1,1,1,0,1,0,0,0,-1,0,1,0,-1,0,1,-1,0,0,0,0,0,-1,0,-1,0,0,-1,1,-1,-1,-1,0,-1,0,0,0,0,1,0,0,1,0,1,0,-1,1,0,0,-1,0,0,1
82,0,0,0,0,0,1,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,0,1,-1,0,0,0,0,0,1,-1,0,0,1,0,0,1,0,0,0,-1,-1,1,0,0,0,0,0,-1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
83,0,-1,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,0,0,1,0,1,0,1
84,1,0,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,-1,-1,1,0,-1,0,1,1,1,0,0,-1,0,0,0,1,0,1,-1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0
85,0,0,0,-1,0,0,-1,0,0,-1,0,-1,0,-1,0,0,0,-1,1,0,-1,0,0,1,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,1,-1,0,-1,0,0,1,0
86,0,0,-1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,-1,-1,-1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87,-1,0,0,0,0,0,0,1,-1,0,0,-1,0,0,0,-1,1,-1,-1,-1,0,0,0,-1,1,0,0,0,0,0,-1,-1,0,0,1,-1,0,0,-1,1,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-1
